Score,Company,Job_Title,Location,Work_Arrangement,Sector,Salary_USD,Job_Summary,URL,Score_Rationale,Times_Seen,First_Seen_Date,Last_Seen_Date,Status,Found_On,URL_Status,Applied_Date,Application_Method,Response_Status,Interview_Stage,Notes,Close_Reason,Posting_Age_Days
82,Andromeda Cluster,Head of Partnerships,Remote Global,Remote-Global,AI/Compute,N/A,"Head of Partnerships at Andromeda Cluster, a compute/AI-infra company. Posted ~1 week ago.",https://jobs.ashbyhq.com/andromeda/07c8f9e0-a2ab-43f6-a0c8-ecb6ba1add1f,AI/ML (30); Partnerships (20); Head (20); Remote Global (10); N/A (5). -3 sector clarity,1,2026-04-20,2026-04-20,NEW,Ashby,Open,,,,,,,10
82,Flagship Pioneering,"Operating Partner, Head of Strategy and Operations","Boston, US",In-Office,VC/Biotech,N/A,"Operating Partner + Head of S&O at Flagship Pioneering, a VC-backed biotech platform. Strong VC-operator match.",https://boards.greenhouse.io/flagshippioneeringinc/jobs/6973829002,Adjacent tech (20); Operating Partner + S&O (25); VP-level (20); Boston other (3); N/A (5) + 9 fit bonus,1,2026-04-20,2026-04-20,NEW,Greenhouse,Error,,,,,,The read operation timed out,
82,Forage,Chief of Staff,Remote,Remote-US,Fintech,N/A,"Chief of Staff at Forage, partnering with the CEO on strategic initiatives and execution at a fintech.",https://job-boards.greenhouse.io/joinforage/jobs/4666077007,Fintech (35); CoS to CEO (20); C-suite (20); Remote-US (10); N/A (5). -8 date uncertain,1,2026-04-20,2026-04-20,NEW,Greenhouse,Error,,,,,,The read operation timed out,
82,Forter,Sr. Corporate Development Manager,United States - New York,In-Office,Fintech/Fraud Prevention,N/A,"Senior Corp Dev Manager at Forter. Leads deal sourcing, diligence, and M&A execution across fraud-prevention and commerce-risk ecosystem.",https://job-boards.greenhouse.io/forter/jobs/8438082002,Fintech (35); Corp Dev (20); Sr Manager (15); NYC top-tier (7); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Greenhouse API,Open,,,,,,,
82,Plaid,Strategic Partnerships - Credit,New York,In-Office,Fintech,N/A,"Leads credit-focused strategic partnerships at Plaid. Develops relationships with lenders, credit bureaus, and fintech platforms to expand Plaid's data network.",https://jobs.lever.co/plaid/87faf9fb-7b90-4005-b3d9-9b852c9983b8,Fintech (35); Strategic Partnerships (20); Senior (15); NYC top-tier (7); N/A (5),2,2026-03-30,2026-04-20,REPEAT,Lever API,Error,,,,,,The read operation timed out,
80,Addepar,Chief of Staff - R&D,Remote US,Remote-US,Fintech/Wealthtech,N/A,"Chief of Staff for R&D at Addepar, a wealthtech platform. Partners with R&D leadership on strategy and execution.",https://job-boards.greenhouse.io/addepar1/jobs/8120254002,Fintech/wealthtech (35); CoS (20); Senior (15); Remote-US (10); N/A (5). -5 R&D scope,1,2026-04-20,2026-04-20,NEW,Greenhouse,Open,,,,,,,
80,Anthropic,GTM Strategy & Operations (Enterprise) - EMEA,"London, UK",In-Office,AI/ML,N/A,"Leads GTM strategy and operations for Anthropic's EMEA enterprise business. Drives commercial planning, market expansion, and cross-functional execution for Claude enterprise adoption.",https://job-boards.greenhouse.io/anthropic/jobs/5005519008,AI/ML (30); GTM/ops strong match (20); Senior level (15); London (10); Salary N/A (5),3,2026-03-16,2026-04-20,REPEAT,Greenhouse API,Open,,,,,,,
80,Array,Chief of Staff,Remote US/Canada,Remote-Global,Fintech,N/A,"Chief of Staff at Array, a remote-first fintech. CEO-adjacent strategic operations role.",https://job-boards.greenhouse.io/array/jobs/5841729004,Fintech (35); CoS (20); C-suite (20); Remote (10); N/A (5). -10 date uncertain,1,2026-04-20,2026-04-20,NEW,Greenhouse,Open,,,,,,,
80,Binance,Business Partnership Manager - Payment,Europe,Remote-Europe,Crypto/Payments,N/A,"Manages payment partnerships across European markets for Binance. Develops relationships with PSPs, banks, and payment networks to expand fiat on/off ramps.",https://jobs.lever.co/binance/b342ec01-d3f9-4df7-bfeb-74d1c3561e77,Crypto/payments (35); Payment partnerships (20); Manager (10); Remote-Europe (10); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Lever API,Open,,,,,,,
80,ElevenLabs,GTM Enablement - Partnerships Lead,United Kingdom,Remote-EMEA,AI/ML,N/A,Leads GTM enablement for partnerships at ElevenLabs. Builds enablement programs and partner GTM motions across UK/EMEA for the voice-AI platform.,https://jobs.ashbyhq.com/elevenlabs/2f121da5-8c9a-401a-9332-3156c5d33113,AI/ML (30); GTM Partnerships (20); Senior (15); UK Remote (10); N/A (5),1,2026-04-20,2026-04-20,NEW,Ashby API,Open,,,,,,,19
80,Eucalyptus,Head of Corporate Development,"London, UK",In-Office,Healthtech,N/A,"Head of Corp Dev at Eucalyptus, a digital health company. Leads M&A strategy, deal sourcing, and strategic investments across healthtech markets.",https://job-boards.greenhouse.io/eucalyptus/jobs/4609827005,Adjacent tech/healthtech (25); Corp Dev (20); Head (20); London (10); N/A (5),1,2026-04-20,2026-04-20,NEW,Greenhouse API,Open,,,,,,,
80,GetNextStep,Head of Business Development (Series B Proptech),"London, UK",In-Office,Proptech/Recruiter,N/A,Head of BD role at a Series B proptech (hiring via GetNextStep). Build and scale the BD function from scratch. NOTE: Posting via a recruiter aggregator; actual hiring co. anonymised.,https://jobs.ashbyhq.com/getnextstep/81926e2e-bbd3-430d-b137-29d835111571,Proptech (25); Head of BD zero-to-one fit (20); Head (20); London (10); N/A (5). Recruiter-mediated -5,1,2026-04-20,2026-04-20,NEW,Ashby,Open,,,,,,,5
80,GetNextStep,Head of Corporate Development (Healthtech),"London, UK",In-Office,Healthtech/Recruiter,GBP 130-165K ($165-210K equivalent),Head of Corp Dev at a London healthtech (hiring via GetNextStep). Leads M&A and strategic investments. NOTE: Recruiter-mediated posting.,https://jobs.ashbyhq.com/getnextstep/21a69f1b-9027-4033-beaf-e5b6ca3fffa5,Healthtech (25); Corp Dev Head (20); Head (20); London (10); £130-165K (10). Recruiter-mediated -5,1,2026-04-20,2026-04-20,NEW,Ashby,Open,,,,,,,28
80,Mollie,Partnerships Manager - Web Agencies,London,In-Office,Fintech/Payments,N/A,"Manages web-agency partnerships at Mollie, a European payments fintech. Develops channel partnerships with agencies integrating Mollie into merchant sites.",https://jobs.ashbyhq.com/mollie/e5c10100-c84f-4fdf-b053-2974bf019ec1,Fintech/payments (35); Partnerships (20); Manager (10); London (10); N/A (5),1,2026-04-20,2026-04-20,NEW,Ashby API,Open,,,,,,,13
80,Omnea,GTM Lead,London,In-Office,B2B SaaS,N/A,"GTM Lead at Omnea. Owns commercial strategy and GTM execution, a zero-to-one-style commercial build role in an early-stage B2B SaaS.",https://jobs.ashbyhq.com/omnea/78963d33-52ec-4918-9fff-0850b285b6d7,"B2B SaaS (30); GTM Lead, zero-to-one fit (20); Senior (15); London (10); N/A (5)",1,2026-04-20,2026-04-20,NEW,Ashby API,Open,,,,,,,11
80,Stripe,"Partner Development Manager, Strategic Partnerships",US-SF/NYC/SEA/CHI/Remote,Remote-US,Fintech/Payments,N/A,"Partner Development Manager at Stripe for strategic partnerships. Builds relationships with platforms, marketplaces, and enterprise partners to drive payments volume.",https://stripe.com/jobs/search?gh_jid=7697672,Fintech/payments (35); Strategic Partnerships (20); Manager (10); Remote-US (10); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Greenhouse API,Open,,,,,,,
80,Stripe,"Product Strategy & Operations, Link",NYC/SEA/SF/CHI/ATL/Remote,Remote-US,Fintech/Payments,N/A,"Leads product strategy and operations for Stripe Link. Drives strategic planning, market analysis, and operational execution for Stripe's one-click payment product.",https://stripe.com/jobs/search?gh_jid=7657938,Fintech/payments (35); Product S&O (15); Senior (15); Remote-US (10); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Greenhouse API,Open,,,,,,,
80,Xero,"Associate Chief of Staff, US Sales (7-month fixed-term)",US: Colorado Remote,Remote-US,Fintech/Accounting,N/A,"Associate Chief of Staff supporting US Sales leadership at Xero. Drives strategic planning, operational excellence, and cross-functional initiatives. NOTE: 7-month fixed-term contract.",https://jobs.ashbyhq.com/xero/2014718a-35b5-4748-89eb-51cbde49ba72,Fintech/accounting (30); CoS (20); Senior (15); Remote-US (10); N/A (5),2,2026-03-30,2026-04-20,REPEAT,Ashby API,Open,,,,,,,18
78,AlphaSense,Head of Strategic Alliances,Remote US,Remote-US,Fintech/Market Intel,N/A,"Head of Strategic Alliances at AlphaSense, a market-intelligence platform used by financial services firms.",https://job-boards.greenhouse.io/alphasense/jobs/8362473002,Adjacent fintech (25); Strategic Alliances (20); Head (20); Remote-US (10); N/A (5). -2 date uncertain,1,2026-04-20,2026-04-20,NEW,Greenhouse,Open,,,,,,,
77,Aircall,"Senior Manager, Go-To-Market Engineering",New York,In-Office,B2B SaaS,N/A,Sr. Manager of GTM Engineering at Aircall. Builds GTM tooling and commercial infrastructure for sales and customer success teams.,https://jobs.lever.co/aircall/b08b02e5-84e3-4bde-8888-d61e8d1680f5,B2B SaaS (30); GTM (20); Sr Manager (15); NYC top-tier (7); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Lever API,Open,,,,,,,
77,Anthropic,"Strategy & Operations, Enterprise Business Partner","San Francisco, CA | NYC",In-Office,AI/ML,N/A,"Enterprise S&O business partner at Anthropic. Supports enterprise sales leadership with strategic planning, operational rigor, and cross-functional execution.",https://job-boards.greenhouse.io/anthropic/jobs/5139423008,AI/ML (30); S&O match (20); Senior (15); SF/NYC top-tier (7); N/A (5),2,2026-03-30,2026-04-20,REPEAT,Greenhouse API,Open,,,,,,,
77,Carta,"Senior Program Manager, Account Management Strategy & Operations",New York,In-Office,Fintech,N/A,"Sr. Program Manager supporting Account Management S&O at Carta, the equity management fintech. Drives strategic planning and operational execution across account teams.",https://job-boards.greenhouse.io/carta/jobs/7614162003,Fintech (35); S&O (15); Sr Manager (15); NYC top-tier (7); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Greenhouse API,Open,,,,,,,
77,Gravitee.io,Chief of Staff to CPTO,"London, UK",In-Office,B2B SaaS/API Management,N/A,"Chief of Staff to the CPTO at Gravitee, a B2B SaaS API-management platform.",https://app.welcometothejungle.com/jobs/rIcuosnE,B2B SaaS (30); CoS (20); Senior (15); London (10); N/A (5). -3 CPTO-focused,1,2026-04-20,2026-04-20,NEW,WTTJ,Open,,,,,,,12
77,Mercury,Revenue Technology - Data Strategy & Operations Lead,SF/NY/Portland/Remote-US-Can,Remote-US,Fintech/Banking,N/A,Leads Data Strategy & Operations for Mercury's Revenue Technology org. Drives data-driven commercial decision-making for the startup-banking fintech.,https://job-boards.greenhouse.io/mercury/jobs/5806201004,Fintech/banking (35); S&O (15); Senior (15); Remote-US (10); N/A (5). -3 data-focused vs commercial,3,2026-03-16,2026-04-20,REPEAT,Greenhouse API,Open,,,,,,,
77,Moonsong Labs,Head of Go-To-Market / Commercial Co-Founder,Remote Global,Remote-Global,Web3/Venture Studio,N/A,"Head of GTM / Commercial Co-Founder at Moonsong Labs, a Web3 venture studio. VP-level commercial co-founder role.",https://jobs.lever.co/moonsong-labs/214fa2e9-d0cc-4178-88be-307db37d396c,Crypto/Web3 (30); GTM Co-founder zero-to-one (22); VP-level (20); Remote Global (10); N/A (5). -10 date uncertain,1,2026-04-20,2026-04-20,NEW,Lever,Open,,,,,,,
77,Parabola,Head of Business Development,Remote US,Remote-US,B2B SaaS,N/A,"Head of BD at Parabola, a data-ops platform for operations teams. Leads commercial expansion.",https://jobs.ashbyhq.com/parabola-io/676eeafe-0d85-459d-b9af-ca20af377e90,B2B SaaS (30); Head BD (17); Head (20); Remote-US (10); N/A (5). -5 date uncertain,1,2026-04-20,2026-04-20,NEW,Ashby,Open,,,,,,,13
77,Rain,Corporate Development Associate,"New York, NY",In-Office,Fintech,N/A,"Corp Dev Associate at Rain, a fintech earned-wage access company. Supports M&A sourcing, diligence, and strategic investments.",https://jobs.ashbyhq.com/rain/aa4a806d-405d-4877-a64b-a3891a9be2b2,Fintech (35); Corp Dev (20); Associate (10); NYC top-tier (7); N/A (5),1,2026-04-20,2026-04-20,NEW,Ashby API,Open,,,,,,,41
77,Superpower,Chief of Staff,London,In-Office,Healthtech,N/A,"Chief of Staff at Superpower, a healthtech company. Strategic ops and cross-functional leadership.",https://jobs.ashbyhq.com/superpower/e9b055d7-c292-4953-b9d1-7153d0255b84,Adjacent tech/healthtech (20); CoS (22); C-suite (20); London (10); N/A (5),1,2026-04-20,2026-04-20,NEW,Ashby,Open,,,,,,,34
75,Goodlord,Partnerships Lead,London,In-Office,Proptech/B2B SaaS,N/A,"Partnerships Lead at Goodlord, a UK proptech. Builds strategic partnerships with letting agents, platforms, and fintech partners in the rental ecosystem.",https://jobs.ashbyhq.com/goodlord/b880def0-56dd-405e-a05b-e18301d00c82,Adjacent tech/proptech (25); Partnerships (20); Senior (15); London (10); N/A (5),1,2026-04-20,2026-04-20,NEW,Ashby API,Open,,,,,,,12
75,Stripe,"Strategy & Operations Program Manager, Risk Ops",US-Remote,Remote-US,Fintech/Payments,N/A,S&O Program Manager for Risk Operations at Stripe. Drives strategic planning and execution across risk-operations workflows.,https://stripe.com/jobs/search?gh_jid=7214197,Fintech/payments (35); S&O (15); Manager (10); Remote-US (10); N/A (5),3,2026-03-16,2026-04-20,REPEAT,Greenhouse API,Open,,,,,,,
73,GetNextStep,Commercial Director (Logistics),"London, UK",In-Office,Logistics/Recruiter,GBP 160-200K,"Commercial Director role at a London logistics business (hiring via GetNextStep). NOTE: Recruiter-mediated, logistics sector is adjacent.",https://jobs.ashbyhq.com/getnextstep/d923464f-1117-4bfd-adaf-13dafbdec381,Adjacent tech (20); Commercial Director (15); Director (20); London (10); £160-200K (10). Recruiter-mediated -2,1,2026-04-20,2026-04-20,NEW,Ashby,Open,,,,,,,11
72,Forter,Strategy & Operations Associate,United States - New York,In-Office,Fintech/Fraud Prevention,N/A,S&O Associate at Forter supporting commercial leadership with strategic planning and operational execution.,https://job-boards.greenhouse.io/forter/jobs/8480473002,Fintech (35); S&O (15); Associate (10); NYC top-tier (7); N/A (5),1,2026-04-20,2026-04-20,NEW,Greenhouse API,Open,,,,,,,
70,Octopus Energy,Partnerships Manager,London,In-Office,Climate/Energy,N/A,Partnerships manager at Octopus Energy. Develops strategic partnerships across the energy ecosystem to accelerate clean energy adoption.,https://jobs.lever.co/octoenergy/9d3dbeed-8fcd-4d92-9658-fae45f0be720,Climate tech (25); Partnerships (20); Manager (10); London (10); N/A (5),1,2026-04-20,2026-04-20,NEW,Lever API,Open,,,,,,,
70,Saronic,Strategic Partnerships Manager,"Washington, DC",In-Office,Defense Tech,N/A,"Strategic partnerships manager at Saronic, an autonomous maritime defense tech company. Develops partnerships across defense primes and allied navies. NOTE: Posted 2025-09-23 — may be stale.",https://jobs.lever.co/saronic/3c85d102-999e-481d-ba04-9b938cb93043,Defense tech (30); Strategic Partnerships (20); Manager (10); DC (10); N/A (5). Deducted 5 for stale posting date.,3,2026-03-16,2026-04-20,REPEAT,Lever API,Open,,,,,,,
70,Tilt,Strategy & Operations Manager - Categories,London,In-Office,B2B SaaS,N/A,"S&O manager at Tilt, owning category-level strategy and operational execution across merchandising and commercial planning.",https://jobs.ashbyhq.com/tilt/5751c163-7ae8-4d69-aa4c-3e2f9cff5d96,B2B SaaS (30); S&O (15); Manager (10); London (10); N/A (5),1,2026-04-20,2026-04-20,NEW,Ashby API,Open,,,,,,,21
