Platform,Search_Title,Search_Location,Results_Count,Job_Title,Company,Location,Posting_Date,URL,Salary
Lever,Partnerships,Manila,3,Partner Development Manager,CI&T,Manila Metro Manila,3 days ago,https://jobs.lever.co/ciandt,N/A
Lever,Partnerships,Manila,3,Mid Software Engineer Java,CI&T,Manila Metro Manila,3 days ago,https://jobs.lever.co/ciandt,N/A
Lever,Partnerships,Manila,3,Creator Partnerships Manager,Binance,Manila Philippines,6 days ago,https://jobs.lever.co/binance,N/A
Ashby,Chief of Staff,Remote,8,Chief of Staff,Farsight AI,Manhattan NYC,1 day ago,https://jobs.ashbyhq.com/farsight/de601d89-6625-42e7-874f-dec135cc62f3,N/A
Ashby,Chief of Staff,Remote,8,Chief of Staff Office of CEO,Bjak,United States,6 days ago,https://jobs.ashbyhq.com/bjakcareer/7d9fbc4e-be57-4630-abd7-6f8b1f413c2c,N/A
Ashby,Chief of Staff,Remote,8,Chief of Staff - GTM,Starknet Foundation,Remote Europe,6 days ago,https://jobs.ashbyhq.com/starknetfoundation/e1f42d34-b7b3-42f9-aa6c-a173028e031d,N/A
Ashby,Chief of Staff,Remote,8,Chief of Staff - UK,Bjak,United Kingdom,1 day ago,https://jobs.ashbyhq.com/bjakcareer/8e8a48b2-7a9e-40b6-aaad-d778969287c7,N/A
Ashby,Chief of Staff,Remote,8,Chief Operations Officer,cosmos GmbH,Remote,1 day ago,https://jobs.ashbyhq.com/cosmos/9e5f5345-e547-4285-a2ce-9dec3392174c,N/A
Ashby,Chief of Staff,Remote,8,Program Manager Global Groups,Centre for Effective Altruism,Remote,3 days ago,https://jobs.ashbyhq.com/centreforeffectivealtruism/92e11e43-ff5d-49aa-ba79-6b3110fe7fc0,N/A
Ashby,Chief of Staff,Remote,8,Founders Office,SigNoz,Remote,2 days ago,https://jobs.ashbyhq.com/SigNoz/4e0838a5-94fb-4224-b09b-23a2d275d798,N/A
Ashby,Chief of Staff,Remote,8,French Territory B2B SaaS,Luminovo,Remote Munich HQ,3 days ago,https://jobs.ashbyhq.com/Luminovo/5524025a-9e5c-4369-8860-db27d2d7ddea,N/A
Ashby,Chief of Staff,Paris,0,No results,N/A,N/A,N/A,N/A,N/A
Ashby,Chief of Staff,Vienna,0,No results,N/A,N/A,N/A,N/A,N/A
Ashby,Chief of Staff,Manila,0,No results,N/A,N/A,N/A,N/A,N/A
Ashby,Partnerships,Remote,192,Culture Partnerships Manager,Substack,New York Remote Hybrid,5 days ago,https://jobs.ashbyhq.com/substack/c3eb85dc-072d-4870-9cdd-751c8fa75f3d,N/A
Ashby,Partnerships,Remote,192,Partnership Manager,Burkland Associates,Remote,7 days ago,https://jobs.ashbyhq.com/burklandassociates/046ed49c-7d5b-402b-a40d-8069ef5fb387,N/A
Ashby,Partnerships,Remote,192,Partnerships Associate New Grad,Whatnot,NYC/LA/SF Remote,3 days ago,https://jobs.ashbyhq.com/whatnot/6d0ac9a1-80fc-48d6-b569-e8583f3bc8d0,N/A
Ashby,Partnerships,Remote,192,Director of Partnerships & Channel,Front,Remote US,7 days ago,https://jobs.ashbyhq.com/frontcareers/71d2d9d6-44ac-4ba2-8b01-bb876ea2b1b0,N/A
Ashby,Partnerships,Remote,192,Head of Partnerships,Base,Remote,2 days ago,https://jobs.ashbyhq.com/Base/b0b2f833-d82b-4345-92c5-b2302b1caf99,N/A
Ashby,Partnerships,Remote,192,Partnerships Marketing Manager,Canals,Remote,3 hours ago,https://jobs.ashbyhq.com/canals/0a4288d6-d63e-450e-8549-b8d21b4be24e,N/A
Ashby,Partnerships,Remote,192,Product Partnerships,SimpleClosure,Remote NYC/LA,2 days ago,https://jobs.ashbyhq.com/simpleclosure/3d82ba4f-a4db-434c-9218-59c7155d436b,N/A
Ashby,Partnerships,Remote,192,Strategic VC Partnerships Manager,Vanta,Remote EMEA,6 days ago,https://jobs.ashbyhq.com/vanta/4e32f84c-84c5-45a6-a8b5-2b3f71235286,N/A
Ashby,Partnerships,Remote,192,BDR Partnerships,Rebuy,Remote US,4 days ago,https://jobs.ashbyhq.com/rebuy/773d08da-d7c3-4486-8497-0118c9e43301,N/A
Ashby,Partnerships,Paris,8,International Partner Manager,SoSafe,Paris France,6 days ago,https://jobs.ashbyhq.com/sosafe,N/A
Ashby,Partnerships,Paris,8,Strategic Partnership Manager,Resilience Care,Paris Lyon Bordeaux,1 day ago,https://jobs.ashbyhq.com/resiliencecare,N/A
Ashby,Partnerships,Paris,8,Associate Director Field Sales,Ideals,Paris,1 day ago,https://jobs.ashbyhq.com/ideals,N/A
Ashby,Partnerships,Paris,8,Staff Affiliate Partnerships APAC,Ledger,Paris HQ,2 days ago,https://jobs.ashbyhq.com/ledger,N/A
Ashby,Partnerships,Paris,8,International Business Developer,Staycation,Paris,1 day ago,https://jobs.ashbyhq.com/Staycation,N/A
Ashby,Partnerships,Paris,8,Launcher,Capi Money,Paris or London,1 day ago,https://jobs.ashbyhq.com/capimoney,N/A
Ashby,Partnerships,Paris,8,Customer Success Manager Southern Europe,Scoreplay,Paris area,3 hours ago,https://jobs.ashbyhq.com/scoreplay,N/A
Ashby,Partnerships,Paris,8,Senior Account Executive Safety UK,Vizzia,UK Paris HQ,6 days ago,https://jobs.ashbyhq.com/vizzia,N/A
Ashby,Partnerships,Vienna,0,No results,N/A,N/A,N/A,N/A,N/A
Ashby,Partnerships,Manila,0,No results,N/A,N/A,N/A,N/A,N/A
