Score,Company,Job_Title,Location,Salary,Sector,Summary,URL,Score_Rationale,Found_On
74,Sardine,Product Partnerships Manager,Remote,N/A,Fintech/Fraud Prevention,"Lead product partnerships for fraud prevention and AML compliance platform. 300+ banks, retailers, fintechs use platform.",https://jobs.ashbyhq.com/sardine/aa71755c-ebe5-40ce-b2ca-11f94816be52,Partnerships management matches strategic partnerships background; Fintech sector directly matches JPMorgan and SVB startup banking expertise,Ashby
74,Sardine,Cloud Partnerships Manager,Remote,N/A,Fintech/Fraud Prevention,"Manage cloud partnerships for fraud prevention platform with remote-first culture. Hubs in Bay Area, NYC, Austin, Toronto.",https://jobs.ashbyhq.com/sardine/a8585d40-deed-44e3-a6a2-bc247a2fa1d5,Partnerships management matches strategic partnerships background; Fintech sector directly matches JPMorgan and SVB startup banking expertise,Ashby
73,Aledade,"Chief of Staff, Provider Networks",Remote US,N/A,Healthcare Tech,"Support strategic initiatives for Chief Performance Officer. Largest network of independent primary care in US, founded 2014.",https://jobs.lever.co/aledade/45857f04-b169-462a-a191-e93a032d7c9c,CoS role matches executive support and cross-functional leadership experience; Healthcare tech offers transferable partnership and ecosystem skills,Lever
72,Upwork,Chief of Staff to the Enterprise GM,Remote US,N/A,HR Tech/Marketplace,"Partner with GM and leadership team across Enterprise Sales, Operations, Solutions, Talent, Product, and Marketing. Build cross-functional partnerships.",https://boards.greenhouse.io/upwork/jobs/5642619003,CoS role matches executive support and cross-functional leadership experience; HR/EdTech adjacent to fintech and startup ecosystem work,Greenhouse
71,Apollo.io,Chief of Staff,Remote US,N/A,Sales Tech/SaaS,"Critical role in company growth, sitting in Business Operations while partnering closely with CEO on strategic initiatives.",https://boards.greenhouse.io/apolloio/jobs/4911212004,CoS role matches executive support and cross-functional leadership experience; Tech/SaaS sector leverages BD and partnership skills,Greenhouse
71,The Flex,Chief of Staff - Founder's Office,Remote,N/A,Real Estate/PropTech,"Strategic right hand to Founder & CEO - trusted partner, operator, execution force. Company-building position making renting effortless.",https://jobs.ashbyhq.com/The-Flex/8a60fd2c-73fb-4cad-ba5a-587bb09c63a9,CoS role matches executive support and cross-functional leadership experience; Tech/SaaS sector leverages BD and partnership skills,Ashby
71,Better Health,Chief of Staff,Remote US,N/A,Healthcare Tech,"Reinventing $80B home medical supply market with education, peer support, coaching, and delivery. Scaling quickly.",https://jobs.ashbyhq.com/joinbetter/499d589c-ef47-4c89-a6ac-43be5903cf7e,CoS role matches executive support and cross-functional leadership experience; Healthcare tech offers transferable partnership and ecosystem skills,Ashby
71,Aledade,"Chief of Staff, Engineering",Remote US,N/A,Healthcare Tech,Flexible remote/WFH within US or offices. Requires 12+ years professional experience in client service or related roles.,https://jobs.lever.co/aledade/0b6a5bad-798b-4f77-a0c3-b509aa36a83a,CoS role matches executive support and cross-functional leadership experience; Healthcare tech offers transferable partnership and ecosystem skills,Lever
71,32Co,Chief of Staff (Operations),Remote,N/A,Healthcare/Dental Tech,"Shape, scale, and strengthen teams starting with Design team. Work with VP Operations, building remote-first culture.",https://jobs.lever.co/32Co/5bdbe964-55df-452c-a9af-66f6b27aeeeb,CoS role matches executive support and cross-functional leadership experience; Healthcare tech offers transferable partnership and ecosystem skills,Lever
70,Red Ventures,Director of Partnerships - AllConnect,"Charlotte, NC (Hybrid)",N/A,Media/Marketing,"Lead partnerships for AllConnect division at Red Ventures, a portfolio of influential brands and digital platforms.",https://boards.greenhouse.io/embed/job_board?for=redventures,Senior partnerships leadership matches SVP partnerships experience at Anzu; Industry outside core expertise but transferable skills apply,Greenhouse
