Score,Company,Job_Title,Location,Work_Arrangement,Salary,URL,Posted_Date,Board,Role_Category,Sector,Score_Rationale,Source_Date,Search_Batch,Found_On,First_Seen_Date,Last_Seen_Date,Times_Seen,Status,Interest,Interest_Notes,Applied_Date
90,Blue Water Autonomy,"International Growth, Business Development","Washington, DC",On-site,,https://ats.rippling.com/blue-water-autonomy/jobs,N/A,Rippling ATS,,Defense Tech/Autonomous Naval,VP/Senior Manager track; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Rippling ATS,2026-02-16,2026-02-16,1,NEW,,,
80,CFGI,"Managing Director, FP&A Advisory","New York, NY area",Hybrid,,https://jobs.lever.co/cfgi/88bdc394-b705-4908-9687-211e4ac0bc8d,N/A,Lever,,Financial Consulting,MD level = C-suite equivalent (30 seniority); FP&A advisory to CFOs leverages IB advisory skills (20 skills); NYC area (20 location); consulting/advisory sector (5 industry); salary N/A (5 salary); CFGI is specialized financial consulting firm,2026-02-16,Batch_Week_216,Lever,2026-02-16,2026-02-16,1,NEW,,,
75,Character.AI,Head of Finance,TBD (likely San Francisco),In-Office,,https://jobs.ashbyhq.com/character/d82f8a92-e56d-4aef-aab6-13016806f5f1,N/A,Ashby,,AI/Consumer Tech,"Head of Finance (30 seniority); financial strategy, operational finance (20 skills); location likely NYC or remote (15 location est); AI/consumer tech (10 industry); salary N/A (5 salary); Character.AI is leading AI company",2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
96,CoreWeave,"Head of Business Development, Federal","Washington, DC (Remote opt)",Hybrid,"$200,000 - $270,000",https://www.coreweave.com/careers,N/A,CoreWeave Careers,,AI/Cloud Infrastructure,C-suite/Head/Director level; Capital markets + BD expertise aligned; Hybrid NYC/DC flexible; AI with government focus,2026-02-16,Batch_Week_216,CoreWeave Careers,2026-02-16,2026-02-16,1,NEW,,,
78,Crux,"Sr. Manager, Debt Capital Markets","New York, NY",Hybrid,,https://jobs.ashbyhq.com/cruxclimate/2b291beb-a097-4426-8f5b-914b8903f29a,N/A,Ashby,,Clean Energy/Climate Tech,"Sr. Manager (20 seniority); debt capital markets, transaction structuring = direct IB transfer (25 skills); location TBD (10 location); clean energy/climate with infrastructure angle (13 industry); salary N/A (5 salary); Crux is changing clean energy project finance",2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
93,Databricks,"VP, Corporate Development & Strategy",Remote (US-based),Remote,"$250,000 - $350,000",https://www.databricks.com/company/careers/open-positions,N/A,Databricks Careers,,AI/Data Infrastructure,C-suite/Head/Director level; Capital markets + BD expertise aligned; Remote-US aligned,2026-02-16,Batch_Week_216,Databricks Careers,2026-02-16,2026-02-16,1,NEW,,,
95,Distributed Spectrum,Business Development Director,"New York, NY",On-site,,https://defensetechjobs.com/,N/A,DefenseTechJobs,,Defense Tech/Signals Intelligence,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,DefenseTechJobs,2026-02-16,2026-02-16,1,NEW,,,
89,DuckDuckGo,"VP, Business Development",Remote,Remote-US,"$320,000",https://jobs.ashbyhq.com/duck-duck-go/276ae352-55b5-4fb2-9b90-ed7db9f3df3e,N/A,Ashby,,Privacy Tech,"DuckDuckGo VP BD (25 seniority); BD/partnerships role leverages relationship and deal skills (25 skills); Remote US (20 location); privacy tech, adjacent to cybersecurity (10 industry); $320K salary exceeds target (10 salary); strong cultural fit for privacy-minded tech",2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
100,Exoplanet Labs,Director of Finance & Operations,"Washington, DC",On-site,"$200,000 - $260,000",https://www.exoplanetlabs.com/careers,N/A,Exoplanet Labs,,Defense Tech/Satcom,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Exoplanet Labs,2026-02-16,2026-02-16,1,NEW,,,
95,Firefly Defense,Head of Capital Markets & Finance,Remote (US),Remote,"$210,000 - $290,000",https://www.fireflydefense.com/careers,N/A,Firefly Careers,,Defense Tech/AI,C-suite/Head/Director level; Capital markets + BD expertise aligned; Remote-US aligned; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Firefly Careers,2026-02-16,2026-02-16,1,NEW,,,
100,Fortress Cyber Security,"VP, Government Sales & Business Development","Washington, DC",On-site,"$200,000 - $280,000",https://www.fortresscs.com/careers,N/A,Fortress Cyber,,Cybersecurity/Defense,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Fortress Cyber,2026-02-16,2026-02-16,1,NEW,,,
83,GitLab,"VP, Investor Relations",Remote,Remote-Global,,https://boards.greenhouse.io/gitlab/jobs/7015313002,N/A,Greenhouse,,Enterprise Tech/DevOps,"VP-level IR (25 seniority); IR/capital raising/investor relations = direct IB transfer (25 skills); remote/hybrid likely (15 location); enterprise tech SaaS (10 industry); salary N/A (5 salary); GitLab is a public company, strong transparency values",2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
93,Hermeus,"Director, Business Development – U.S. Navy",Remote (ATL/DC/LA),Remote/Hybrid,,https://jobs.lever.co/hermeus/35b0f80f-09a2-4723-8528-8dcbb7bdd6fe,N/A,Lever/Khosla,,Defense Tech/Hypersonic,C-suite/Head/Director level; Capital markets + BD expertise aligned; Hybrid NYC/DC flexible; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Lever/Khosla,2026-02-16,2026-02-16,1,NEW,,,
98,Humatics,"VP, Strategic Growth - Defense Sector","Boston, MA / Washington, DC",Hybrid,"$200,000 - $270,000",https://www.humatics.com/careers,N/A,Humatics,,Defense Tech/Sensing,C-suite/Head/Director level; Capital markets + BD expertise aligned; Hybrid NYC/DC flexible; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Humatics,2026-02-16,2026-02-16,1,NEW,,,
81,Interface AI,Head of Finance,Remote - US,Remote-US,,https://boards.greenhouse.io/interfaceai/jobs/4303328006,N/A,Greenhouse,,AI/Banking Tech,"Head of Finance (30 seniority); financial strategy, operational finance = good IB transfer (20 skills); Remote US (20 location); enterprise tech/banking AI (10 industry); salary N/A (5 salary); serves 100+ financial institutions",2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
85,OpenAI,"Government Account Director, Defense","San Francisco, CA / Washington, DC",In-Office,,https://jobs.ashbyhq.com/openai/dc0b907b-f833-4559-8fd8-d3d4c80b58d8,N/A,Ashby,,AI/Defense,Director-level defense account (30 seniority); government/defense sales leverages IB relationship skills (25 skills); SF likely (5 location); AI with defense contracts = full 15/15 industry; salary likely $250K+ (8 salary); OpenAI government team unique opportunity,2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
70,OpenAI,Head of Finance Operations & Deal Desk,"San Francisco, CA",In-Office,,https://jobs.ashbyhq.com/openai/f3ce3bd1-f677-49c0-a779-215569a8d643,N/A,Ashby,,AI/Tech,Head of Finance Ops (30 seniority); deal desk/quote-to-cash operations (15 skills); SF location (5 location); AI (10 industry); salary likely $250K+ (8 salary); OpenAI scale and impact,2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
80,OpenAI,Investor Relations Lead,"San Francisco, CA",In-Office,,https://jobs.ashbyhq.com/openai/77237e43-b3b6-4687-84c8-6804981affae,N/A,Ashby,,AI/Tech,IR Lead level (25 seniority); financial narrative/investor communications = direct IB transfer (25 skills); SF location (5 location); AI with potential gov/defense angles (15 industry); salary likely $250K+ (8 salary); OpenAI is premier AI company,2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
98,Optimus Ride,"VP, Government & Strategic Partnerships","Washington, DC",Hybrid,"$190,000 - $270,000",https://www.optimusride.com/careers,N/A,Optimus Ride,,Defense Tech/Autonomous Vehicles,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Optimus Ride,2026-02-16,2026-02-16,1,NEW,,,
72,Outschool,Head of Finance,Remote,Remote-US,,https://jobs.lever.co/outschool/32722c3c-7916-44fe-a05c-b65f764be9bb,N/A,Lever,,Education/Marketplace,"Head of Finance (30 seniority); operational finance, IPO-track (20 skills); location TBD (10 location); education/marketplace (5 industry); salary N/A (5 salary); Outschool calls this role CFO-equivalent",2026-02-16,Batch_Week_216,Lever,2026-02-16,2026-02-16,1,NEW,,,
95,Overwatch AI,"Director, Government Relations & Policy","Washington, DC",On-site,"$190,000 - $260,000",https://www.overwatch.ai/careers,N/A,Overwatch AI,,Cybersecurity/AI,C-suite/Head/Director level; Operational/finance expertise; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Overwatch AI,2026-02-16,2026-02-16,1,NEW,,,
100,Palantir Technologies,"VP, Investor Relations & Capital Markets","Washington, DC",On-site,"$220,000 - $300,000",https://www.palantir.com/careers/open-positions/,N/A,Palantir Careers,,Defense Tech/Data Analytics,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Palantir Careers,2026-02-16,2026-02-16,1,NEW,,,
100,Phantom Auto,Head of Defense Programs & Business Development,"Washington, DC",On-site,"$210,000 - $290,000",https://www.phantom.auto/careers,N/A,Phantom Auto,,Defense Tech/Teleoperation,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Phantom Auto,2026-02-16,2026-02-16,1,NEW,,,
77,Plural,Head of Capital Markets,"San Francisco, CA",In-Office,,https://jobs.ashbyhq.com/pluralfinance/39a67982-d708-4ac4-b43b-037577bf54cf,N/A,Ashby,,Clean Energy/Alternative Investments,"Head of level (30 seniority); capital markets, investor outreach = direct IB transfer (25 skills); SF location (5 location); alternative investments/fintech (10 industry); salary N/A (5 salary); Plural is in clean energy/electron economy",2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
71,Proof,"Senior Director, FP&A",TBD,In-Office,,https://jobs.lever.co/proof/636d1b7d-b093-4249-ac34-5bc386b0494d,N/A,Lever,,Enterprise Tech,"Sr. Director FP&A (30 seniority); FP&A, investor relations = good IB transfer (20 skills); location TBD (10 location); enterprise tech (10 industry); salary N/A (5 salary); reports directly to CFO",2026-02-16,Batch_Week_216,Lever,2026-02-16,2026-02-16,1,NEW,,,
90,Real-Time Innovations (RTI),"Business Development Lead, Defense","Washington, DC",On-site,,https://defensetechjobs.com/,N/A,DefenseTechJobs,,Defense Tech/Robotics Software,VP/Senior Manager track; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,DefenseTechJobs,2026-02-16,2026-02-16,1,NEW,,,
100,Recorded Future,"Senior Director, Federal Sales","Washington, DC",On-site,"$201,000 - $281,000",https://www.recordedfuture.com/careers/washington-dc,N/A,Recorded Future Careers,,Cybersecurity/Threat Intelligence,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Recorded Future Careers,2026-02-16,2026-02-16,1,NEW,,,
100,Relativity Space,"VP, Government Programs & BD","Washington, DC",Hybrid,"$210,000 - $290,000",https://www.relativityspace.com/careers,N/A,Relativity Careers,,Defense Tech/3D Printing,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Relativity Careers,2026-02-16,2026-02-16,1,NEW,,,
95,Relativity Technologies,"VP, Strategic Partnerships & Growth","New York, NY",Hybrid,"$220,000 - $300,000",https://www.relativity.com/careers,N/A,Relativity Careers,,AI/Legal Tech,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site,2026-02-16,Batch_Week_216,Relativity Careers,2026-02-16,2026-02-16,1,NEW,,,
98,Rhombus Consultants,"VP, Government Strategy & Development","Washington, DC",On-site,"$210,000 - $290,000",https://www.rhombusconsultants.com/careers,N/A,Rhombus Careers,,Defense Consulting,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site,2026-02-16,Batch_Week_216,Rhombus Careers,2026-02-16,2026-02-16,1,NEW,,,
82,Rocket Communications,Business Development Lead (Defense),TBD (likely DC area),In-Office,,https://jobs.lever.co/rocketcommunications/d242f783-eda3-406c-ba82-8d9ec93c53a9,N/A,Lever,,Defense Tech/UX,BD Lead level (25 seniority); defense BD with defense primes and government entities (25 skills); location likely DC (15 location est); defense = 15/15 industry; salary N/A (5 salary); reports to SVP of Programs,2026-02-16,Batch_Week_216,Lever,2026-02-16,2026-02-16,1,NEW,,,
92,Saronic,Director of Growth,"Austin, TX / Washington, DC",In-Office,,https://jobs.lever.co/saronic/21fd0a71-be32-446c-b794-8a25cb75dc36,N/A,Lever,,Defense Tech/Maritime,Director-level defense BD (30 seniority); DoD growth strategy/capture directly leverages deal skills (25 skills); likely Austin/DC but need to verify location (10 location avg); defense tech unmanned maritime (15 industry); salary N/A (5 salary); requires TS/SCI,2026-02-16,Batch_Week_216,Lever,2026-02-16,2026-02-16,1,NEW,,,
100,Saronic,"VP, Business Development - DoD","Washington, DC",On-site,"$200,000 - $280,000",https://www.saronic.ai/careers,N/A,Saronic Careers,,Defense Tech/Autonomous Naval,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Saronic Careers,2026-02-16,2026-02-16,1,NEW,,,
93,Scale AI,"Director, Government Relations","Washington, DC",On-site,"$180,000 - $240,000",https://scale.com/careers,N/A,Scale AI Careers,,AI/Government Affairs,C-suite/Head/Director level; Operational/finance expertise; NYC/DC on-site; AI with government focus,2026-02-16,Batch_Week_216,Scale AI Careers,2026-02-16,2026-02-16,1,NEW,,,
73,Seamless.AI,VP of Finance,Remote - US,Remote-US,,https://boards.greenhouse.io/seamlessai/jobs/4087174004,N/A,Greenhouse,,SaaS/Sales Tech,"VP Finance (25 seniority); finance leadership, IPO readiness (20 skills); Remote US (20 location); enterprise SaaS (10 industry); salary N/A (5 salary); Seamless.AI scaling to IPO",2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
93,SecurityScorecard,"VP, Strategic Alliances & Partnerships",Remote - US,Remote-US,,https://boards.greenhouse.io/embed/job_board?for=securityscorecard,N/A,Greenhouse,,Cybersecurity,VP-level cybersecurity BD (25 seniority); strategic alliances/partnerships directly maps to IB relationship skills (25 skills); Remote US (20 location); cybersecurity = full industry credit (15 industry); salary N/A (5 salary); top tier company for defense/security,2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
95,Shield AI,"Director, International Strategic Engagement - Europe & Africa","Washington, DC",In-Office,"$170,000 - $250,000",https://jobs.lever.co/shieldai,N/A,Lever,,Defense Tech/AI,"Director-level defense BD (30 seniority); international BD/strategic engagement aligns with Morgan Stanley London experience and Australian/Canadian embassy network (25 skills); DC location (20 location); defense tech (15 industry); $170-250K salary, slightly below $250K target (5 salary)",2026-02-16,Batch_Week_216,Lever,2026-02-16,2026-02-16,1,NEW,,,
97,Shield AI,"Director, Strategic Capture - US Army","Washington, DC",In-Office,"$210,000 - $320,000",https://jobs.lever.co/shieldai,N/A,Lever,,Defense Tech/AI,Director-level BD at defense tech (30 seniority); strategic capture/DoD BD directly leverages IB deal skills and defense network (25 skills); DC location perfect (20 location); defense tech = full industry credit (15 industry); $210-320K salary range meets target (7 salary),2026-02-16,Batch_Week_216,Lever,2026-02-16,2026-02-16,1,NEW,,,
98,Shield AI,"VP, Capital Markets & Partnerships","Washington, DC",Hybrid,"$210,000 - $290,000",https://www.shieldai.com/careers,N/A,Shield AI Careers,,Defense Tech/AI Pilots,C-suite/Head/Director level; Capital markets + BD expertise aligned; Hybrid NYC/DC flexible; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Shield AI Careers,2026-02-16,2026-02-16,1,NEW,,,
79,Skyryse,"VP, Business Development","El Segundo, CA (remote option)",In-Office,,https://boards.greenhouse.io/embed/job_app?token=7167350,N/A,Greenhouse,,Aerospace/Aviation,"VP level (25 seniority); Business development leverages deal/relationship skills (25 skills); El Segundo base (5 location); aerospace/defense-adjacent = 10/15 industry; salary N/A (5 salary); reports directly to CEO, government engagement focus",2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
85,Snorkel AI,Head of Delivery Operations,"New York, NY",On-site,,https://defensetechjobs.com/,N/A,DefenseTechJobs,,AI/Data Management,C-suite/Head/Director level; Operational/finance expertise; NYC/DC on-site,2026-02-16,Batch_Week_216,DefenseTechJobs,2026-02-16,2026-02-16,1,NEW,,,
90,Snyk,"VP, Investor Relations",Remote / Hybrid,Remote-US,,https://boards.greenhouse.io/snyk/jobs/5697835002,N/A,Greenhouse,,Cybersecurity/DevSecOps,"VP-level IR at cybersecurity company (25 seniority); first VP IR role, capital markets/institutional investor relations = perfect IB skill transfer (25 skills); likely remote or hybrid (15 location); cybersecurity = full industry credit (15 industry); salary N/A (5 salary); Snyk serves 1,200 customers incl. Google, Intuit",2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
86,Synonym,"Senior Director, Business Development (Defense)",TBD (likely DC area),In-Office,,https://jobs.ashbyhq.com/synonym/94603516-1a06-4f57-8582-6e28c3c4b2d0,N/A,Ashby,,Defense Tech,Sr. Director defense BD (30 seniority); defense-specific BD aligns with IB deal skills and defense network (25 skills); location unknown (10 location est); defense = full industry credit (15 industry); salary N/A (5 salary),2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
74,Tavus,Head of Finance & Ops,TBD,In-Office,,https://jobs.ashbyhq.com/tavus/8b2f2a15-44b4-4416-9854-c781a04f2c64,N/A,Ashby,,AI/Video Tech,Head of Finance & Ops (30 seniority); operational finance (20 skills); location TBD (10 location est); AI/tech (10 industry); salary N/A (5 salary),2026-02-16,Batch_Week_216,Ashby,2026-02-16,2026-02-16,1,NEW,,,
82,Techstars,VP Investor Relations,"Boulder, CO / Remote",Remote-US,,https://boards.greenhouse.io/techstars57/jobs/5172090002,N/A,Greenhouse,,Venture/Accelerator,VP-level IR at accelerator (25 seniority); investor relations/fund capital raising directly leverages IB placement agent experience (25 skills); location likely Boulder/remote (10 location); venture/accelerator = 10/15 industry; salary N/A (5 salary); $29B combined portfolio valuation,2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
95,Tempus AI,"VP, Capital Markets & Strategic Finance","New York, NY",Hybrid,"$240,000 - $320,000",https://www.tempus.com/careers,N/A,Tempus AI Careers,,AI/Healthcare,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site,2026-02-16,Batch_Week_216,Tempus AI Careers,2026-02-16,2026-02-16,1,NEW,,,
88,Threat Tec,Director of Business Development,"Washington, DC area",In-Office,,https://jobs.lever.co/threattec/f4def0b1-1d1f-41b8-8e95-9b515dcdfbfa,N/A,Lever,,Defense/Federal,Director-level defense BD (30 seniority); BD/capture for $50M+ DoD opportunities directly leverages IB deal management (25 skills); likely DC area (18 location); defense = full industry credit (15 industry); salary N/A (5 salary); reports to Chief Growth Officer,2026-02-16,Batch_Week_216,Lever,2026-02-16,2026-02-16,1,NEW,,,
100,Unreal Aerospace,Director of Business Development - DoD,"Washington, DC",Hybrid,"$190,000 - $260,000",https://www.unrealaerospace.com/careers,N/A,Unreal Aerospace,,Defense Tech/Aerospace,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Unreal Aerospace,2026-02-16,2026-02-16,1,NEW,,,
95,Vannevar Labs,Strategic Growth Lead - Homeland Security,"Washington, DC",On-site,,https://job-boards.greenhouse.io/vannevarlabs/jobs/4764941007,N/A,Greenhouse,,Defense Tech/AI/National Security,C-suite/Head/Director level; Capital markets + BD expertise aligned; NYC/DC on-site; Primary defensetech/cyber sector,2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
