Score,Company,Job_Title,Location,Work_Arrangement,Sector,Salary_USD,Job_Summary,URL,Score_Rationale,Times_Seen,First_Seen_Date,Last_Seen_Date,Status,Found_On,URL_Status,Applied_Date,Application_Method,Response_Status,Interview_Stage,Notes
85,Xero,Senior Partnerships Manager,London,In-Office,Fintech/Accounting,N/A,"Manages strategic partnerships at Xero's London office. Develops and scales ecosystem relationships with accounting firms, banks, and fintech partners.",https://jobs.ashbyhq.com/xero/7e44adb8-b4c9-4478-9b6a-c21ffac6aca4,"Fintech (35); Partnerships, strong match (20); Senior Manager (15); London (10); Salary N/A (5)",1,2026-03-30,2026-03-30,NEW,Ashby API,API-Verified,,,,,
85,Xero,"Associate Chief of Staff, US Sales (7-month fixed-term)",US: Colorado Remote,Remote-US,Fintech/Accounting,N/A,"Associate Chief of Staff supporting US Sales leadership at Xero. Drives strategic planning, operational excellence, and cross-functional initiatives. Note: 7-month fixed-term contract.",https://jobs.ashbyhq.com/xero/2014718a-35b5-4748-89eb-51cbde49ba72,"Fintech (35); CoS role, strong match (20); Senior level (15); Remote US (10); Salary N/A (5)",1,2026-03-30,2026-03-30,NEW,Ashby API,API-Verified,,,,,
85,Pattern,"Director of Partnerships, EMEA","London, United Kingdom",In-Office,B2B SaaS,N/A,Leads EMEA partnership strategy at Pattern. Builds and scales strategic alliances with enterprise clients and channel partners across European markets.,https://jobs.lever.co/pattern/fc621c26-c2ef-40bf-9fb4-3fee3d341436,"B2B SaaS (30); Director of Partnerships, strong match (20); Director level (20); London (10); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Lever API,API-Verified,,,,,
85,Forter,Director of Strategic Alliances,United States - Remote,Remote-US,Fintech/Fraud Prevention,N/A,"Leads strategic alliances at Forter, an e-commerce fraud prevention platform. Develops partnerships with PSPs, acquirers, and enterprise platforms.",https://job-boards.greenhouse.io/forter/jobs/8436236002,"B2B SaaS/Fintech (30); Strategic Alliances, strong match (20); Director level (20); Remote US (10); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Greenhouse API,API-Verified,,,,,
85,Mercury,Staff Product Partnerships Manager - Mercury Bank,Remote within United States,Remote-US,Fintech/Banking,N/A,"Leads product partnerships at Mercury, a fintech bank for startups. Integrates with ecosystem partners to expand Mercury's banking platform capabilities.",https://job-boards.greenhouse.io/mercury/jobs/5789886004,"Fintech/banking (35); Product Partnerships at startup bank, strong match (20); Staff/Senior level (15); Remote US (10); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Greenhouse API,API-Verified,,,,,
85,Mercury,Strategic Partnerships - Accounting,Remote within United States,Remote-US,Fintech/Banking,N/A,Drives accounting ecosystem partnerships at Mercury. Builds relationships with accounting firms and platforms to grow Mercury's embedded banking offering.,https://job-boards.greenhouse.io/mercury/jobs/5820686004,"Fintech/banking (35); Strategic Partnerships, strong match (20); Senior level (15); Remote US (10); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Greenhouse API,API-Verified,,,,,
85,MeridianLink,"VP, Corporate Development",US Remote,Remote-US,Fintech,N/A,"VP of Corporate Development at MeridianLink, a fintech lending platform. Leads M&A strategy, deal sourcing, and post-merger integration.",https://jobs.ashbyhq.com/meridianlink/2bb62015-8107-42c6-a7b6-1a53d7d93ace,Fintech (35); Corporate Development (15); VP level (20); Remote US (10); Salary N/A (5),1,2026-03-30,2026-03-30,NEW,Ashby API,API-Verified,,,,,
85,Zodia Custody,Chief of Staff (to the CEO),"London, UK",In-Office,Crypto/Custody,N/A,"Chief of Staff to the CEO at Zodia Custody, a crypto custody platform backed by Standard Chartered. Leads strategic operations and corporate governance.",https://www.efinancialcareers.co.uk/jobs-UK-London-Chief_of_Staff_to_the_CEO.id22770351,Crypto/fintech (35); CoS to CEO (20); C-suite level (20); London (10); Salary N/A (5). Deducted 5 for potentially stale listing.,1,2026-03-30,2026-03-30,NEW,eFinancialCareers,Not Checked,,,,,
85,Visa,"Senior Director - NA Head of BD, B2B Fintech Partnerships","New York, USA",In-Office,Fintech/Payments,N/A,Senior Director leading B2B fintech partnerships and business development for Visa North America. Drives strategic BD with fintech companies and enterprise platforms.,https://www.efinancialcareers.com/jobs-USA-NY-New_York-Senior_Director_-_NA_Head_of_Business_Development_B2B_Fintech_Partnerships.id23865563,"Fintech/payments (35); BD + Fintech Partnerships, strong match (20); Senior Director level (20); NYC top-tier (7); Salary likely $150K+ (3 est.)",1,2026-03-30,2026-03-30,NEW,eFinancialCareers,Not Checked,,,,,
82,Plaid,Strategic Partnerships - Credit,New York,In-Office,Fintech,N/A,"Leads credit-focused strategic partnerships at Plaid. Develops relationships with lenders, credit bureaus, and fintech platforms to expand Plaid's data network.",https://jobs.lever.co/plaid/87faf9fb-7b90-4005-b3d9-9b852c9983b8,Fintech (35); Strategic Partnerships (20); Senior level (15); NYC top-tier company (7); Salary N/A (5),1,2026-03-30,2026-03-30,NEW,Lever API,API-Verified,,,,,
82,Qumis,Director of Partnerships,New York City,In-Office,Insurtech/B2B SaaS,N/A,"Director of Partnerships at Qumis, an AI-powered insurtech startup. Builds strategic relationships with carriers, brokers, and insurtech ecosystem players.",https://jobs.ashbyhq.com/qumis/f85e2674-cc89-415e-b03b-87be107496da,B2B SaaS/Insurtech (30); Director of Partnerships (20); Director level (20); NYC (7); Salary N/A (5),1,2026-03-30,2026-03-30,NEW,Ashby API,API-Verified,,,,,
82,Sardine,Head of Banking Partnerships,Remote/Fintech,Remote-US,Fintech/Compliance,N/A,"Leads banking partnerships at Sardine, a fintech fraud and compliance platform. Builds relationships with banks and financial institutions for payment risk solutions.",https://app.welcometothejungle.com/jobs/ZcbMIBCX,"Fintech (35); Banking Partnerships, matches Phil's banking background (20); Head level (20); Remote (10); Salary N/A (5). Deducted 8 for compliance focus vs. commercial.",1,2026-03-30,2026-03-30,NEW,Otta/WTTJ,Not Checked,,,,,
80,Binance,Business Partnership Manager - Payment,Europe,Remote-Europe,Crypto/Payments,N/A,"Manages payment partnerships across European markets for Binance. Develops relationships with PSPs, banks, and payment networks to expand fiat on/off ramps.",https://jobs.lever.co/binance/b342ec01-d3f9-4df7-bfeb-74d1c3561e77,Crypto/payments (35); Payment partnerships (20); Manager level (10); Europe Remote (10); Salary N/A (5),2,2026-03-16,2026-03-30,REPEAT,Lever API,API-Verified,,,,,
80,Bjakcareer,Chief of Staff - UK,United Kingdom,In-Office,Fintech,N/A,"Chief of Staff at BJAK, a Southeast Asian insurtech expanding to UK. Leads strategic operations and cross-functional coordination for UK market launch.",https://jobs.ashbyhq.com/bjakcareer/9a42908f-c5ca-4408-bf0f-7cf7140bcfd4,"Adjacent fintech/insurtech (20); CoS role, strong match to ops/zero-to-one background (25); Head/C-suite level (20); UK (10); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Ashby API,API-Verified,,,,,
80,Anduril Industries,"Head of Growth, Electromagnetic Warfare","Washington, DC",In-Office,Defense Tech,N/A,"Leads growth strategy for Anduril's electromagnetic warfare division. Drives market expansion, customer acquisition, and GTM execution in defense technology.",https://boards.greenhouse.io/andurilindustries/jobs/5083019007?gh_jid=5083019007,"Defense tech (30); Growth/GTM, partial match (15); Head level (20); DC (10); Salary N/A (5)",1,2026-03-30,2026-03-30,NEW,Greenhouse API,API-Verified,,,,,
80,Anduril Industries,"Head of Growth, Rocket Motor Systems","Washington, DC",In-Office,Defense Tech,N/A,"Leads growth strategy for Anduril's rocket motor systems division. Drives customer acquisition, market development, and GTM for defense propulsion systems.",https://boards.greenhouse.io/andurilindustries/jobs/5085807007?gh_jid=5085807007,"Defense tech (30); Growth/GTM, partial match (15); Head level (20); DC (10); Salary N/A (5)",1,2026-03-30,2026-03-30,NEW,Greenhouse API,API-Verified,,,,,
80,Samsara,Senior Partner Manager - Strategic Partnerships,Remote - UK,Remote-EMEA,IoT/B2B SaaS,N/A,Manages strategic partnerships at Samsara. Develops and scales partner ecosystem to drive revenue growth and market expansion in the UK and EMEA.,https://www.samsara.com/company/careers/roles/7541227?gh_jid=7541227,B2B SaaS/IoT (30); Strategic Partnerships (20); Senior Manager (15); Remote UK (10); Salary N/A (5),1,2026-03-30,2026-03-30,NEW,Greenhouse API,API-Verified,,,,,
80,Stripe,"Partner Development Manager, Strategic Partnerships",US Remote/Multi-city,Remote-US,Fintech/Payments,N/A,"Develops and manages strategic partnerships at Stripe. Builds relationships with platforms, marketplaces, and enterprise partners to drive payments volume.",https://stripe.com/jobs/search?gh_jid=7697672,Fintech/payments (35); Strategic Partnerships (20); Manager level (10); Remote US (10); Salary N/A (5),2,2026-03-16,2026-03-30,REPEAT,Greenhouse API,API-Verified,,,,,
80,Stripe,"Product Strategy & Operations, Link",Remote/Multi-city,Remote-US,Fintech/Payments,N/A,"Leads product strategy and operations for Stripe Link. Drives strategic planning, market analysis, and operational execution for Stripe's payment product.",https://stripe.com/jobs/search?gh_jid=7657938,Fintech/payments (35); Product S&O (15); Senior level (15); Remote (10); Salary N/A (5),2,2026-03-16,2026-03-30,REPEAT,Greenhouse API,API-Verified,,,,,
80,Cleo AI,Director/Head of Partnerships,London,In-Office,Fintech/AI,N/A,"Director/Head of Partnerships at Cleo AI, an AI-powered financial assistant. Develops strategic partnerships with banks, fintechs, and consumer financial platforms.",https://app.welcometothejungle.com/jobs/sOx0iVww,Fintech/AI (35); Director of Partnerships (20); Director/Head level (20); London (10); Salary N/A (5). Deducted 10 for consumer fintech vs. enterprise focus.,1,2026-03-30,2026-03-30,NEW,Otta/WTTJ,Not Checked,,,,,
80,Lending Club,"Senior Director, Head of Partnerships & Platforms",Remote,Remote-US,Fintech/Lending,N/A,"Senior Director leading partnerships and platforms at LendingClub. Drives strategic alliances, platform integrations, and ecosystem development for digital lending.",https://app.welcometothejungle.com/jobs/UbksUrHe,Fintech/lending (35); Head of Partnerships & Platforms (20); Senior Director level (20); Remote (10); Salary N/A (5). Deducted 10 for consumer lending focus.,1,2026-03-30,2026-03-30,NEW,Otta/WTTJ,Not Checked,,,,,
78,Autodesk,Chief of Staff - VP Sales Strategy & Excellence,Remote-UK,Remote-EMEA,B2B SaaS,N/A,"Chief of Staff to VP Sales Strategy at Autodesk. Supports sales leadership with strategic planning, operational excellence, and cross-functional initiatives.",https://autodesk.wd1.myworkdayjobs.com/ext/job/united-kingdom---remote/chief-of-staff_26wd96604-1,B2B SaaS (30); CoS to VP Sales (18); VP support level (20); Remote UK (10); Salary N/A (5). Deducted 5 for non-fintech.,1,2026-03-30,2026-03-30,NEW,Workday,Not Checked,,,,,
77,Ramp,"Financial Partnerships Manager, Stablecoins & Cross-Border Payments","New York, NY (HQ)",In-Office,Fintech/Crypto,N/A,Manages stablecoin and cross-border payment partnerships at Ramp. Builds relationships with crypto infrastructure providers and payment networks.,https://jobs.ashbyhq.com/ramp/2f9eaac5-ab42-4f00-aa89-6030bb2b5acb,"Fintech/crypto (35); Financial partnerships, banking background match (20); Manager level (10); NYC (7); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Ashby API,API-Verified,,,,,
77,Ramp,"Financial Partnerships Manager, International","New York, NY (HQ)",In-Office,Fintech,N/A,"Manages international financial partnerships at Ramp. Expands Ramp's global payment network through relationships with banks, PSPs, and fintech partners.",https://jobs.ashbyhq.com/ramp/f2ad6068-02e7-4986-967e-804ecef9e043,Fintech (35); International financial partnerships (20); Manager level (10); NYC (7); Salary N/A (5),2,2026-03-16,2026-03-30,REPEAT,Ashby API,API-Verified,,,,,
77,Aircall,"Director, Forward Deployed Engineering & AI GTM Lead",New York Office,In-Office,B2B SaaS/AI,N/A,Director leading forward-deployed engineering and AI GTM at Aircall. Drives technical go-to-market strategy for AI-powered communication products.,https://jobs.lever.co/aircall/af40e77c-554a-436b-b6cb-bf1eca20c9d7,B2B SaaS/AI (30); GTM Lead (15); Director level (20); NYC (7); Salary N/A (5),2,2026-03-16,2026-03-30,REPEAT,Lever API,API-Verified,,,,,
77,Qumis,Head of Growth,New York City,In-Office,Insurtech/B2B SaaS,N/A,"Heads growth strategy at Qumis, an AI-powered insurtech. Drives customer acquisition, market expansion, and revenue growth in the insurance technology space.",https://jobs.ashbyhq.com/qumis/4f93747a-45eb-4dd8-a036-82a952261083,B2B SaaS/Insurtech (30); Head of Growth (15); Head level (20); NYC (7); Salary N/A (5),1,2026-03-30,2026-03-30,NEW,Ashby API,API-Verified,,,,,
75,Anthropic,GTM Strategy & Operations (Enterprise) - EMEA,"London, UK",In-Office,AI/ML,N/A,"Leads enterprise GTM strategy and operations for Anthropic's EMEA business. Drives strategic planning, market analysis, and operational execution for AI product expansion.",https://job-boards.greenhouse.io/anthropic/jobs/5005519008,"AI/ML (30); Strategy & Ops, partial skills match (15); Senior level (15); London (10); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Greenhouse API,API-Verified,,,,,
75,ElevenLabs,Sales Enablement - Partnerships Lead,United Kingdom,Remote-EMEA,AI/ML,N/A,Leads sales enablement and partnerships at ElevenLabs. Builds partner ecosystem to scale AI voice technology adoption across enterprise customers.,https://jobs.ashbyhq.com/elevenlabs/2f121da5-8c9a-401a-9332-3156c5d33113,AI/ML (30); Partnerships Lead (15); Lead/Senior level (15); UK (10); Salary N/A (5),1,2026-03-30,2026-03-30,NEW,Ashby API,API-Verified,,,,,
75,Eucalyptus,Head of Partnerships,UK - HQ - London,In-Office,Health Tech,N/A,"Leads partnership strategy at Eucalyptus London. Develops and scales strategic relationships with healthcare providers, pharmacies, and ecosystem partners.",https://job-boards.greenhouse.io/eucalyptus/jobs/4609827005,"Adjacent tech (20); Head of Partnerships, strong match (20); Head level (20); London (10); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Greenhouse API,API-Verified,,,,,
75,Mercury,Revenue Technology - Data Strategy & Operations Lead,Remote within US/Canada,Remote-US,Fintech/Banking,N/A,Leads revenue technology and data strategy at Mercury. Drives data-informed GTM operations and strategic planning for Mercury's revenue organization.,https://job-boards.greenhouse.io/mercury/jobs/5806201004,"Fintech/banking (35); Data S&O, partial match (10); Lead level (15); Remote US (10); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Greenhouse API,API-Verified,,,,,
75,Deeter Analytics,Chief of Staff,US - Remote,Remote-US,Analytics/Tech,N/A,"Chief of Staff at Deeter Analytics. Supports CEO with strategic operations, cross-functional coordination, and key initiative execution.",https://jobs.ashbyhq.com/deeter-analytics/f170857f-08cf-454b-bdf8-559b3250bb46,"Adjacent tech (20); CoS role, strong match (20); C-suite level (20); Remote US (10); Salary N/A (5)",1,2026-03-30,2026-03-30,NEW,Ashby API,API-Verified,,,,,
75,Saronic,Strategic Partnerships Manager,"Washington, DC",In-Office,Defense Tech,N/A,"Manages strategic partnerships at Saronic, an autonomous ship manufacturer. Develops relationships with defense contractors, government agencies, and technology partners.",https://jobs.lever.co/saronic/3c85d102-999e-481d-ba04-9b938cb93043,Defense tech (30); Strategic Partnerships (20); Manager level (10); DC (10); Salary N/A (5),2,2026-03-16,2026-03-30,REPEAT,Lever API,API-Verified,,,,,
75,Dataiku,Strategic Alliances Director,Remote/Global,Remote-Global,AI/B2B SaaS,N/A,"Leads strategic alliances at Dataiku, an enterprise AI platform. Develops partnerships with system integrators, cloud providers, and technology partners.",https://app.welcometothejungle.com/jobs/QuSHya1q,AI/B2B SaaS (30); Strategic Alliances Director (15); Director level (20); Remote Global (10); Salary N/A (5). Deducted 5 for SI/channel focus.,1,2026-03-30,2026-03-30,NEW,Otta/WTTJ,Not Checked,,,,,
72,Anthropic,Private Equity Partnerships Manager,"New York City, NY",In-Office,AI/ML,N/A,Manages PE partnerships at Anthropic. Builds relationships with private equity firms to drive AI adoption across PE portfolio companies.,https://job-boards.greenhouse.io/anthropic/jobs/5127645008,"AI/ML (30); PE Partnerships, matches Phil's VC background (20); Manager level (10); NYC (7); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Greenhouse API,API-Verified,,,,,
72,Anthropic,"Strategy & Operations, Enterprise Business Partner",San Francisco / New York City,In-Office,AI/ML,N/A,"Strategy & Operations business partner for Anthropic's enterprise team. Drives strategic planning, operational improvements, and cross-functional initiatives.",https://job-boards.greenhouse.io/anthropic/jobs/5139423008,"AI/ML (30); S&O, partial match (15); Senior level (15); NYC/SF (7); Salary N/A (5)",1,2026-03-30,2026-03-30,NEW,Greenhouse API,API-Verified,,,,,
72,Ramp,Issuing Partnerships Manager,"New York, NY (HQ)",In-Office,Fintech,N/A,Manages card issuing partnerships at Ramp. Develops relationships with issuing banks and card networks to support Ramp's corporate card infrastructure.,https://jobs.ashbyhq.com/ramp/671a5957-397b-455e-9d34-04526a784aed,"Fintech (35); Issuing partnerships, specific domain (15); Manager level (10); NYC (7); Salary N/A (5)",2,2026-03-16,2026-03-30,REPEAT,Ashby API,API-Verified,,,,,
72,Forter,Sr. Corporate Development Manager,United States - New York,In-Office,Fintech/Fraud Prevention,N/A,"Senior Corporate Development Manager at Forter. Leads M&A sourcing, deal evaluation, and strategic investment activities in the fraud prevention space.",https://job-boards.greenhouse.io/forter/jobs/8438082002,B2B SaaS (30); Corporate Development (15); Senior Manager (15); NYC (7); Salary N/A (5),2,2026-03-16,2026-03-30,REPEAT,Greenhouse API,API-Verified,,,,,
72,Aircall,"Senior Manager, Go-To-Market Engineering",New York Office,In-Office,B2B SaaS,N/A,Senior Manager leading GTM engineering at Aircall. Drives technical go-to-market operations and solution engineering for enterprise communications platform.,https://jobs.lever.co/aircall/b08b02e5-84e3-4bde-8888-d61e8d1680f5,B2B SaaS (30); GTM Engineering (15); Senior Manager (15); NYC (7); Salary N/A (5),2,2026-03-16,2026-03-30,REPEAT,Lever API,API-Verified,,,,,
72,Carta,"Senior Program Manager, Account Management Strategy & Operations","New York, NY",In-Office,Fintech,N/A,Senior Program Manager for account management S&O at Carta. Drives strategic operational improvements for Carta's enterprise account management team.,https://job-boards.greenhouse.io/carta/jobs/7614162003,Fintech (35); S&O program management (10); Senior Manager (15); NYC (7); Salary N/A (5),2,2026-03-16,2026-03-30,REPEAT,Greenhouse API,API-Verified,,,,,
72,LiveFlow,Partnerships Manager,"New York, New York",In-Office,Fintech,N/A,"Manages partnerships at LiveFlow, a fintech automation platform. Builds relationships with accounting firms and financial services partners.",https://jobs.ashbyhq.com/liveflow/8a959edc-5619-4a57-b542-76149e14ca5f,Fintech (35); Partnerships (15); Manager level (10); NYC (7); Salary N/A (5),1,2026-03-30,2026-03-30,NEW,Ashby API,API-Verified,,,,,
72,Verto,Partnerships Business Development Manager,"London, UK",In-Office,Fintech/FX,N/A,"Partnerships BD Manager at Verto, an FX and payments platform. Develops business partnerships with banks, fintechs, and enterprise clients across Africa and UK.",https://www.efinancialcareers.com/jobs-UK-London-Partnerships_Business_Development_Manager.id23825978,Fintech/FX (35); Partnerships BD (15); Manager level (10); London (10); Salary N/A (5). Deducted 3 for Africa-market focus.,1,2026-03-30,2026-03-30,NEW,eFinancialCareers,Not Checked,,,,,
70,Bjakcareer,Senior Partnerships Manager,United Kingdom,In-Office,Fintech/Insurtech,N/A,"Senior Partnerships Manager at BJAK UK. Develops and manages strategic partnerships with insurers, financial services firms, and distribution partners.",https://jobs.ashbyhq.com/bjakcareer/a4fe2c1f-af32-4e81-93b5-8f7894dd999c,Adjacent fintech/insurtech (20); Partnerships (20); Senior Manager (15); UK (10); Salary N/A (5),2,2026-03-16,2026-03-30,REPEAT,Ashby API,API-Verified,,,,,
