Company,City_Country,Amount_USD,Round,Sector,Source,Lead_Investors,Description,Relevance_Score,Why_Relevant,Criteria_Matched,Recommended_Action
LanzaJet,Chicago IL,$47M,Unknown,Sustainable aviation fuel,FINSmes Feb 20,IAG + Shell,Sustainable aviation fuel,5,Energy company lacking fintech/AI/ML focus,Sector ✗ Stage ✓,MONITOR
Monark,NYC,$8.1M,Unknown,Fintech/brokerage,FINSmes Feb 19,F-Prime,Fintech/brokerage platform,8,Fintech brokerage platform in NYC with strong investor backing,Sector ✓ Location ✓,REACH_OUT
Onshore,NYC,$31M,Series B,AI tax platform,FINSmes Feb 19,Unknown,AI tax platform,9,Fintech/AI platform for tax in NYC with Series B funding,Sector ✓ Stage ✓ Location ✓,REACH_OUT
Ownwell,Austin TX,$50M,Series B,Property tax tech,FINSmes Feb 20,Alpha Edison + Mercato,Property tax technology,8,Fintech property tax platform with Series B and strong investors,Sector ✓ Stage ✓,REACH_OUT
Payra,Nashville TN,$15M,Unknown,B2B payments,FINSmes Feb 19,Edison Partners,B2B payments platform,9,B2B payments fintech platform with strong funding,Sector ✓ Stage ✓,REACH_OUT
Portkey,San Francisco CA,€15M,Series A,AI gateway,StrictlyVC Feb 20,Elevation Capital,AI gateway/API platform,7,Enterprise AI/ML infrastructure with Series A funding,Sector ✓ Stage ✓,MONITOR
Rainfall Health,San Francisco CA,$15M,Series A,Healthcare AI,FINSmes Feb 19,Two Bear Capital,Healthcare AI platform,6,Healthcare AI platform with Series A but less fintech focus,Sector ✓ Stage ✓,MONITOR
Selector,Santa Clara CA,$32M,Unknown,AI network intelligence,FINSmes Feb 19,Unknown,AI network intelligence,7,Enterprise AI/ML networking platform with significant funding,Sector ✓ Stage ✓,MONITOR
Solid,Helsinki,€20M,Seed,Enterprise data/AI,StrictlyVC Feb 20,Team8 + SignalFire,Enterprise data/AI platform,8,Enterprise AI/ML data platform with strong European investors,Sector ✓ Stage ✓,MONITOR
Stacks,London UK,€23M,Series A,Enterprise finance AI,FINSmes Feb 19,Lightspeed,Enterprise finance AI,9,Enterprise finance AI in London with Series A and strong venture backer,Sector ✓ Stage ✓ Location ✓,REACH_OUT
Temporal,San Francisco CA,$300M,Series D,Developer platform,FINSmes Feb 18,$5B valuation - Developer platform,8,Enterprise developer AI/ML platform with massive Series D,Sector ✓ Stage ✓,MONITOR
Venice,NYC,$33M,Series A,Cybersecurity/access platform,FINSmes Feb 19,Unknown,Cybersecurity/access platform,7,Enterprise B2B SaaS cybersecurity in NYC with Series A,Sector ✓ Stage ✓ Location ✓,MONITOR
Vestwell,NYC,$385M,Series E,Fintech/savings platform,FINSmes Feb 19,Unknown,Fintech/savings platform,10,Core fintech savings platform in NYC with massive Series E funding,Sector ✓ Stage ✓ Location ✓,REACH_OUT
VulnCheck,Lexington MA,$25M,Series B,Cybersecurity,FINSmes Feb 18,Unknown,Cybersecurity vulnerability platform,7,Enterprise cybersecurity B2B SaaS with Series B funding,Sector ✓ Stage ✓,MONITOR
Taalas,Toronto,€169M,Unknown,Custom AI chips,StrictlyVC Feb 20,Quiet Capital + Fidelity,Custom AI chips,8,Enterprise AI/ML infrastructure with significant funding and strong investors,Sector ✓ Stage ✓,MONITOR
