Status,Score,Company,Job_Title,Sector,Location,Salary_USD,Job_Summary,Work_Arrangement,Score_Rationale,URL,URL_Status,Found_On
NEW,80,Long Ridge Partners (Recruiter),Associate L/S Equity,Hedge Fund,"New York, NY",N/A,"Associate-level L/S equity role at hedge fund (via recruiter). Analyze business models, drive investment opportunities, present actionable trade ideas. 2-5 years IB, ER, or PE experience required.",In-Office,"Good fit: L/S equity at HF in NYC. Aaron's fundamental research skills align well. 2-5 yrs IB/ER requirement is below Aaron's experience level but still relevant. Salary unknown, posted via recruiter.",https://www.linkedin.com/jobs/view/4363170274,Verified,LinkedIn
NEW,79,Point72,"Business Analyst, L/S Equity",Hedge Fund,"Stamford, CT",N/A,Business Analyst supporting long/short equity strategies at Steve Cohen's multi-billion dollar hedge fund.,In-Office,Good fit: L/S equity at elite hedge fund (Point72). Stamford CT commutable from NYC. 'Business Analyst' title may indicate support rather than investment role. Salary likely strong.,https://careers.point72.com/CSJobDetail?jobName=business-analyst-l-s-equity&jobCode=CSS-0013340,Unverified,Company Careers
NEW,78,Seaport Global Holdings,Senior Equity Analyst (Generalist & Special Situations),Investment Bank,"New York, NY",N/A,"Part of Seaport Research Partners sell-side platform providing buy/sell recommendations. Serves 3,000+ institutional accounts.",In-Office,Good fit: senior equity analyst similar to current role. Generalist/special situations differs from TMT but transferable. NYC location ideal.,https://jobs.lever.co/seaportglobal/1056feac-5210-4a44-a7e9-e21b267163a9,Unverified,Lever
NEW,77,Wells Fargo,"Equity Research, Senior Analyst - Mid Cap Banks",Investment Bank,"New York, NY",N/A,Senior equity research analyst covering Mid Cap Banks at major Wall Street bank. Full-time role with 401(k) and benefits.,In-Office,Good fit: senior ER analyst at bulge bracket in NYC. Mid Cap Banks sector differs from software but research methodology transfers. Salary not listed but likely competitive at WF.,https://www.linkedin.com/jobs/view/4371821652,Verified,LinkedIn
NEW,77,Seaport Global Holdings,Research Analyst,Investment Bank,"New York, NY",N/A,"Research analyst performing security-level analysis for Penn Capital portfolios. Requires 5+ years experience, CFA preferred.",In-Office,"Good fit: research analyst with buy-side component (Penn Capital). NYC, CFA preferred matches Aaron's credentials. 5+ year experience aligns.",https://jobs.lever.co/seaportglobal/1c717fba-04bd-441b-9047-9f4433929023,Unverified,Lever
NEW,76,Kennison & Associates,Senior Equity Research Analyst,Asset Management,"Boston, MA","$175,000-$200,000",Senior equity research analyst at Boston-based firm. Hybrid work arrangement with $175K-$200K base plus bonus. Requires deep fundamental analysis skills.,Hybrid,"Good fit: senior ER analyst with $175K-$200K + bonus. Hybrid in Boston (not NYC, lower location score). Research skills transfer well. Strong compensation.",https://www.linkedin.com/jobs/view/4367543210,Verified,LinkedIn
NEW,74,Wells Fargo,"Equity Research, Senior Analyst - Brokers, Asset Managers & Exchanges",Investment Bank,"Boston, MA",N/A,"Senior equity research analyst covering Brokers, Asset Managers & Exchanges at Wells Fargo in Boston. Full-time with 401(k) and benefits.",In-Office,Moderate fit: senior ER at WF in Boston. Financial services coverage differs from TMT. Boston requires relocation. Strong institutional research platform.,https://www.linkedin.com/jobs/view/4371828306,Verified,LinkedIn
NEW,73,RWA.xyz,Senior Research Analyst,Fintech,"New York, NY",N/A,Write research on tokenization for Wall Street readers. Tokenized real-world assets analytics platform targeting institutional investors.,N/A,Moderate fit: research analyst at fintech in NYC writing for Wall Street. Adjacent to equity research but crypto/tokenization focus. Seniority aligns.,https://jobs.ashbyhq.com/RWA.xyz/b3b035a7-3067-4639-998b-863476b22ae3,Unverified,Ashby
NEW,73,Arootah,Consultant - Portfolio Manager (Fractional/Contract),Hedge Fund,Remote,N/A,Experienced PMs consult to hedge fund and family office clients. Requires 10+ years PM experience.,Remote,Moderate fit: HF consulting but requires 10+ years PM experience. Aaron has research not PM background. Remote flexibility positive. Contract nature less ideal.,https://jobs.lever.co/arootah/07f79048-131b-4a9d-94a6-8e6f8bacc1f1,Unverified,Lever
NEW,72,Interplay (Ascend),"Investment Analyst, Ascend",Asset Management,"New York, NY",N/A,"Multi-family office seeking analyst to own financial models, convert unstructured inputs into actionable recommendations.",N/A,Moderate fit: investment analyst at multi-family office in NYC. Financial modeling skills align. More generalist than Aaron's sector expertise.,https://jobs.ashbyhq.com/interplay/49067d40-d1b5-4101-9b9d-37e8216e86f0,Unverified,Ashby
NEW,72,Edward Daniels Group,Portfolio Construction - Hedge Fund,Hedge Fund,"New York, NY",N/A,Quantitative Researcher developing automated trading strategies. Includes systematic fundamental L/S and equity stat arb.,In-Office,Partial fit: HF in NYC but quant-focused. 'Systematic fundamental L/S' has some overlap. Quantitative requirements may not fully align.,https://jobs.lever.co/edgrp/7fedafa0-adc7-4b4f-847f-14510b9a2b2a,Unverified,Lever
NEW,71,Contradict Capital,Investment Analyst,Asset Management,"New York, NY","$100,000-$150,000",Values-driven family office. All aspects of investment lifecycle. 1-3 years experience required.,N/A,Moderate fit: family office in NYC. Salary near but below target ($100K-$150K). 1-3 yrs requirement is junior for Aaron's seniority.,https://jobs.ashbyhq.com/Contradict%20Capital/d95e590b-aba4-4121-bd27-b122f0fba0da,Unverified,Ashby
NEW,70,Titan,Investment Analyst,Asset Management,"New York, NY","$115,000-$189,000",Investment analyst at tech-driven wealth manager backed by a16z and General Catalyst.,N/A,Moderate fit: fintech-adjacent wealth manager in NYC. Salary partially meets target. Tech platform aligns with software expertise but not traditional HF.,https://jobs.ashbyhq.com/titan/77c2dfd9-a46e-4dbd-bc92-e87738c2bf91,Unverified,Ashby
NEW,70,Landing Point,Investment Analyst,Asset Management,"Boston, MA","$200,000",Investment analyst role at Boston-based firm. $200K compensation with strong growth potential.,In-Office,Moderate fit: investment analyst in Boston at $200K. Requires relocation from NYC. Asset management firm aligns with transition goals.,https://www.linkedin.com/jobs/view/4371490467,Verified,LinkedIn
