Score,Company,Amount,Stage,Sector,Location,Description,Investors,Rationale,Prospecting_Angle,Source,Source_Date
7,Shine Technologies,$240M,Growth,Nuclear / Defense / Energy,"Janesville, WI","Nuclear fusion company with military testing applications. Janesville, WI-based.",Not disclosed,Defense + energy overlap. Massive $240M raise. WI location is a downside but defense/energy sector is ideal. CFO-track hire likely.,Huge raise at defense/energy intersection. May have DC-based BD roles for government relations.,"StrictlyVC, FINSmes",2026-02-26
7,Emerald AI,$25M,Seed,AI / Energy,"Washington, DC",AI for data center energy optimization. DC-based.,Not disclosed,AI + Energy + DC location = triple fit. Seed stage but large round ($25M) suggests rapid growth.,DC-based AI energy company. Perfect location fit. VP Finance hire possible as they scale.,StrictlyVC,2026-02-25
7,Encord,$60M,Series C,AI / Defense-Adjacent,San Francisco / London,"AI data development platform for vision and multimodal teams, including drones and robots.",Not disclosed,Physical AI for drones/robots = defense-adjacent. Series C with $60M = established company hiring senior finance.,Defense-adjacent AI Series C. VP Finance or CFO hire likely. Drone/robot applications align with defense BD.,"StrictlyVC, FINSmes, EU-Startups",2026-02-27
7,Bandelier Technologies,Undisclosed,Early,Defense Tech / Quantum,"Santa Fe, NM","Deeptech developing memory-free quantum radar, sensing, and metasurface antenna systems for national security, space-domain awareness, and resilient communications.",CerraCap Impact VC,Pure national security tech. Quantum radar and space-domain awareness. Early but highly specialized defense tech.,National security deeptech. May need BD leader with defense/intelligence community relationships.,FINSmes,2026-02-26
7,Inscope,$14.5M,Series A,AI / Financial Services,"San Francisco, CA",AI-powered financial reporting platform for accounting firms and enterprises.,Not disclosed,AI + financial reporting = directly relevant to VP Finance expertise. Series A = building leadership.,AI financial reporting at Series A. VP Finance with deep financial reporting knowledge is ideal hire.,FINSmes,2026-02-23
7,UpGuard,$75M,Series C,Cybersecurity,"Mountain View, CA / Australia","Cybersecurity and risk management company. Australia and Mountain View, CA-based.",Not disclosed,"Cybersecurity Series C. $75M = scaling globally, needs finance leadership. Not NYC/DC but strong sector fit.",Cybersecurity at scale. CFO or VP Finance hire likely for global expansion.,FINSmes,2026-02-27
6,Phoenix Tailings,$30.2M,Series B,Critical Minerals / Defense Supply Chain,TBD,Rare earth metals production. Defense supply chain relevance.,Not disclosed,Critical minerals = defense supply chain. Series B. VP Finance for capital-intensive operations.,Defense supply chain company at Series B. Capital-intensive = needs strong finance leader.,StrictlyVC,2026-02-25
6,Bluprynt,$4.25M,Seed,Fintech / Compliance,"Washington, DC",Compliance operating system for digital assets. DC-based.,Not disclosed,DC location + compliance/fintech. Small seed but worth monitoring for growth.,DC fintech at seed. Monitor for Series A when they'll hire first finance leader.,FINSmes,2026-02-27
6,Luminos.AI,$6M,Seed,AI Governance,"Washington, DC",AI governance platform. DC-based.,Not disclosed,AI governance + DC = regulatory/policy fit. Seed stage but relevant sector and location.,DC AI governance company. Monitor for growth. Policy background valuable.,StrictlyVC,2026-02-25
6,Prophet Security,Undisclosed,Strategic,Cybersecurity / AI,"Palo Alto, CA",Agentic AI platform for Security Operations Centers (SOC).,Strategic,Cybersecurity AI. Strategic round suggests enterprise traction. Not in target geography.,Cybersecurity AI with enterprise traction. Monitor for VP Finance/BD hires.,FINSmes,2026-02-26
6,Freeform,$67M,Series B,Manufacturing / Defense-Adjacent,"Hawthorne, CA",3D-printing metal manufacturing company. Defense supply chain applications.,Not disclosed,Defense-adjacent manufacturing. $67M Series B = significant scale. Hawthorne (SpaceX area) = aerospace/defense cluster.,Defense-adjacent manufacturing at scale. VP Finance for capital-intensive operations.,FINSmes,2026-02-23
6,SambaNova,$350M,Series E,AI Infrastructure,"San Jose, CA",AI infrastructure company. Massive strategic Series E.,Strategic,Late-stage AI infrastructure. Huge raise but late stage. May have IR/capital markets roles for IPO path.,Late-stage AI infra likely heading to IPO. IR/capital markets leadership hire possible.,FINSmes,2026-02-25
6,ZaiNar,$100M,Growth,AI / Defense-Adjacent,"Belmont, CA",Physical AI turning wireless networks into sensing systems. $1B valuation.,Not disclosed,Defense-adjacent sensing unicorn. Wireless sensing has military applications. $100M at $1B = CFO track.,Defense-adjacent unicorn. CFO or VP Finance hire expected at this valuation.,FINSmes,2026-02-23
6,Frankenburg Technologies,€30M (~$35M),Series A,Defense Tech,"Tallinn, Estonia",Anti-drone missile systems designed for mass production. Estonia-based.,Not disclosed,Pure defense tech (missiles). European but notable for BD if they pursue US DoD contracts.,European defense tech entering US market may need US-based BD lead for DoD relationships.,"FINSmes, EU-Startups, Sunday CET",2026-02-24
6,ThreatAware,$25M,Growth,Cybersecurity,"London, UK",Cyber asset management and cyber hygiene platform. London-based.,Not disclosed,Cybersecurity growth stage. UK-based but may hire US BD for market expansion.,UK cybersecurity expanding. May need US-based BD for North American market.,FINSmes,2026-02-26
