Status,Tier,Total,D1_Role,D2_Company,D3_Combo,Archetype,Score_Source,Company,Job_Title,Role_Family,Location,URL,Rationale_One_Line,URL_Status,Close_Reason,Posting_Age_Days
NEW,Borderline,5,3,1,1,unclear,snippet,Whatnot,"Director, Strategy & Operations - Service Delivery at Whatnot",strategy_ops,Remote; UK,https://jobs.ashbyhq.com/whatnot/bef7a5f0-7f7c-4b91-8133-5190b21def01,"[snippet-only, verify before applying] Direct Strategy/Ops director-level hit; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Open,,42
NEW,Borderline,5,2,2,1,unclear,snippet,Novaspace,Manager Space & Defence - Europe at Novaspace,chief_of_staff,Europe,https://jobs.lever.co/novaspace/ffff1ca5-d581-4fef-a18d-3d6003b69b9f,"[snippet-only, verify before applying] CoS-adjacent: senior strategy/operator role; sector:defense_tech; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Borderline,5,2,2,1,unclear,snippet,Whatnot,"Strategy and Operations Manager, Categories and Expansion at Whatnot",strategy_ops,Europe; Remote,https://jobs.ashbyhq.com/whatnot/300adeb9-5c0f-4c49-bcdb-60f1c9867a73,"[snippet-only, verify before applying] S&O-adjacent at right level; sector:market_entry_svcs; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Open,,0
NEW,Skip,4,3,0,1,unclear,snippet,DREAM,Director of Strategy Operations at DREAM,strategy_ops,—,https://jobs.lever.co/wearedream/03f02faf-1b5a-4989-abb6-13d99de863a6,"[snippet-only, verify before applying] Direct Strategy/Ops director-level hit; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,4,3,0,1,unclear,snippet,Home Solutions,Director of Strategy & Business Operations at Home Solutions,strategy_ops,—,https://job-boards.greenhouse.io/homesolutions/jobs/4689397005,"[snippet-only, verify before applying] Direct Strategy/Ops director-level hit; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,4,3,0,1,unclear,snippet,Lifted,"Director, Strategic Initiatives & Special Projects at Lifted",strategy_ops,—,https://job-boards.greenhouse.io/lifted/jobs/7656435003,"[snippet-only, verify before applying] Direct Strategy/Ops director-level hit; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,4,3,0,1,unclear,snippet,Onehouse,Chief of Staff at Onehouse,chief_of_staff,—,https://jobs.lever.co/Onehouse/a3f089cf-4717-4556-96bb-754611a94314,"[snippet-only, verify before applying] Direct CoS hit; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,4,2,1,1,unclear,snippet,northwoodspace,Head of Partnerships at northwoodspace,partnerships_bd,—,https://jobs.ashbyhq.com/northwoodspace/8e45a5fa-5005-4041-8bb0-18ba2cc250a3,"[snippet-only, verify before applying] Senior partnerships role; adjacent family; sector:defense_tech; combo neutral; Joey could do this role but the combo isn't the headline",Open,,38
NEW,Skip,4,1,2,1,unclear,snippet,Jeeves,Head of Global Partnerships at Jeeves,partnerships_bd,EMEA; LATAM,https://jobs.lever.co/tryjeeves/f0faf387-8d07-4784-ba28-acae4a16d70a,"[snippet-only, verify before applying] Generic partnerships role; sector:fintech; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,3,2,0,1,unclear,snippet,Mimica,Head of Partnerships at Mimica,partnerships_bd,—,https://jobs.ashbyhq.com/mimica/87425be0-a592-4ce2-9d5a-9f045cbb4d66,"[snippet-only, verify before applying] Senior partnerships role; adjacent family; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,27
NEW,Skip,3,2,0,1,unclear,snippet,MoeGo,MoeGo Head of Partnerships and Customer Marketing,partnerships_bd,—,https://app.welcometothejungle.com/jobs/AaOmuL_R,"[snippet-only, verify before applying] Senior partnerships role; adjacent family; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,41
NEW,Skip,3,2,0,1,unclear,snippet,Owner.com,Owner.com Strategic Operations Lead,strategy_ops,—,https://app.welcometothejungle.com/jobs/jKCDkvAa,"[snippet-only, verify before applying] S&O-adjacent at right level; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,24
NEW,Skip,3,2,0,1,unclear,snippet,InvestEngine,InvestEngine Senior Strategy and Operations Manager,strategy_ops,—,https://app.welcometothejungle.com/jobs/T5ENwBkX,"[snippet-only, verify before applying] S&O-adjacent at right level; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,26
NEW,Skip,3,2,0,1,unclear,snippet,Veeva Systems,Manager Strategy - Regulatory - LatAm at Veeva Systems,strategy_ops,LATAM; São Paulo,https://jobs.lever.co/veeva/463ddd43-8f64-409a-9f3b-be0b600e3dc5,"[snippet-only, verify before applying] S&O-adjacent at right level; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,3,1,1,1,builder_leaning,snippet,Cygnify,Country Manager - Business Development Manager at Cygnify,market_entry,—,https://jobs.ashbyhq.com/cygnify/4d0d5e51-c509-4533-a4c7-de8065d1e934,"[snippet-only, verify before applying] Market entry role; partial fit; sector:market_entry_svcs; combo neutral; Joey could do this role but the combo isn't the headline",Open,,26
NEW,Skip,3,1,1,1,unclear,snippet,Istari Digital,Strategic Partnerships Lead at Istari Digital,partnerships_bd,—,https://jobs.lever.co/istaridigital.ai/011da4c8-4be8-4a2b-9af9-39fbad33735c,"[snippet-only, verify before applying] Generic partnerships role; sector:defense_tech,govtech; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,3,1,1,1,unclear,snippet,Jeeves,Global SDR Manager at Jeeves,strategy_ops,—,https://jobs.lever.co/tryjeeves/a731c3c5-8626-4c80-a94d-05c76c7b43c6,"[snippet-only, verify before applying] sales-leaning role; partial overlap with Joey's GTM exposure; sector:fintech; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,3,1,1,1,unclear,snippet,Nuitée,Business Development Director (EMEA/Remote) at Nuitée,strategy_ops,EMEA; Remote,https://job-boards.greenhouse.io/nuitee/jobs/4835260101,"[snippet-only, verify before applying] Loose S&O relevance; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,3,1,1,1,unclear,snippet,RemoFirst,Expansion Manager – Australia & New Zealand at RemoFirst,market_entry,—,https://jobs.lever.co/remofirst/ec14abe2-2240-44c1-a8be-f5743ad5ea80,"[snippet-only, verify before applying] Market entry role; partial fit; sector:market_entry_svcs; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,3,1,1,1,unclear,snippet,Rezolve Ai,Sales Director at Rezolve Ai,strategy_ops,—,https://jobs.lever.co/groupbyinc/f69e1462-ebc9-4676-8221-5f51187f5f0f,"[snippet-only, verify before applying] sales-leaning role; partial overlap with Joey's GTM exposure; sector:ai_ml; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,3,1,1,1,builder_leaning,snippet,Sonar,Country Manager (VP of Sales) Japan at Sonar,market_entry,Japan,https://jobs.lever.co/sonarsource/0d16e35d-61ce-4887-bb82-3e7a0760c412,"[snippet-only, verify before applying] Country manager outside Joey's geographic corridor; sector:market_entry_svcs; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,3,1,1,1,unclear,snippet,Deel Senior Strategic,Deel Senior Strategic Partnerships Manager,partnerships_bd,—,https://app.welcometothejungle.com/jobs/Q3qbDZx5,"[snippet-only, verify before applying] Generic partnerships role; sector:fintech,market_entry_svcs; combo neutral; Joey could do this role but the combo isn't the headline",Open,,26
NEW,Skip,3,1,1,1,unclear,snippet,Yuno,Partnerships Manager - Latam at Yuno,partnerships_bd,LATAM,https://jobs.lever.co/yuno/20b45ff6-1aa1-49e8-8179-4cf9e108e049,"[snippet-only, verify before applying] Generic partnerships role; sector:fintech; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,3,0,2,1,unclear,snippet,OpenAI,Head of EMEA Product Partnerships at OpenAI,partnerships_bd,EMEA; Paris; London,https://jobs.ashbyhq.com/openai/c779c474-b4c0-4b88-a9d1-9371c5a575c8,"[snippet-only, verify before applying] off-family IC/Specialist title; sector:ai_ml; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Open,,21
NEW,Skip,2,1,0,1,unclear,snippet,Amplitude,Global Agency Lead at Amplitude,partnerships_bd,—,https://job-boards.greenhouse.io/amplitude/jobs/8519347002,"[snippet-only, verify before applying] Generic partnerships role; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,2,1,0,1,unclear,snippet,CodeRoad,"Director, People Business Partner at CodeRoad",strategy_ops,LATAM,https://job-boards.greenhouse.io/coderoad/jobs/4244253009,"[snippet-only, verify before applying] Loose S&O relevance; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,2,1,0,1,unclear,snippet,Optro,Strategic Technology Partnerships Director at Optro,partnerships_bd,—,https://jobs.ashbyhq.com/optro/f66b8e08-41c0-4dfd-8cad-30dd70807bce,"[snippet-only, verify before applying] Generic partnerships role; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,20
NEW,Skip,2,1,0,1,unclear,snippet,Upwork,"Sr Director, Corporate Development at Upwork",partnerships_bd,—,https://job-boards.greenhouse.io/upwork/jobs/7110133003,"[snippet-only, verify before applying] Generic partnerships role; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
NEW,Skip,2,0,1,1,unclear,snippet,Abacum Inc,"Senior Partner Manager, EMEA at Abacum Inc",partnerships_bd,EMEA; London,https://jobs.ashbyhq.com/abacum/078addcf-3456-447c-9597-9c9291192568,"[snippet-only, verify before applying] off-family IC/Specialist title; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Open,,40
NEW,Skip,2,0,1,1,unclear,snippet,HyperionDev,Director of Partnerships - EMEA at HyperionDev,partnerships_bd,EMEA; Remote,https://boards.greenhouse.io/hyperiondev/jobs/5784728002,"[snippet-only, verify before applying] off-family IC/Specialist title; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Error,HTTP 500,
NEW,Skip,2,0,1,1,unclear,snippet,Pylon,Customer Success Manager (EMEA Lead) at Pylon,market_entry,EMEA,https://jobs.ashbyhq.com/pylon-labs/96a2080d-98c9-4440-885a-fe7ea8a02a05,"[snippet-only, verify before applying] off-family IC/Specialist title; Lisbon/EU reachable; combo neutral; Joey could do this role but the combo isn't the headline",Open,,18
NEW,Skip,1,0,0,1,unclear,snippet,Analyst1,VP of Channel Partnerships & Alliances at Analyst1,partnerships_bd,—,https://job-boards.greenhouse.io/analyst1/jobs/5099024007,"[snippet-only, verify before applying] off-family IC/Specialist title; neutral company fit; combo neutral; Joey could do this role but the combo isn't the headline",Open,,
