source,company_slug,company_name,title,role_family,location,eligibility_summary,eligible_latam_mode,eligible_dc_mode,eligible_portugal_mode,latam_relevance,company_sector,company_stage,company_geography_hq,company_priority_tier,us_investor_signal,url,updated,ats,health_status,health_detail,posting_age_days,jd_fetch_status,jd_cache_path
api,apolloio,Apolloio,"Go-To-Market Engineer I, SMB",growth_commercial,"Remote, United States","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/apolloio/jobs/5778017004,2026-07-06T18:51:37-04:00,Greenhouse,open,api-live,,success,jd_cache/44f748fbd9b679ad.txt
api,aledade,Aledade,"Director, Payer Go-To-Market (GTM), Remote",growth_commercial,"Remote, United States","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://jobs.lever.co/aledade/660b03e4-e1db-4ac2-bb9e-c74666f52189,2026-07-07T12:00:31.868000,Lever,open,api-live,,success,jd_cache/c70c44df4ecea1de.txt
api,includedhealth,Includedhealth,Go-To-Market Enablement Manager,growth_commercial,Remote,"L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://jobs.lever.co/includedhealth/e5475693-8b26-4166-ad01-db9bcbbf2f96,2026-06-26T15:26:50.581000,Lever,open,api-live,,success,jd_cache/9f6400b899262c75.txt
api,rula,Rula,Strategy & Operations Manager  (Remote),strategic_ops,Remote - United States,"L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://jobs.ashbyhq.com/rula/3013fcdb-0e71-42f2-b3f1-7e8e3b3a2c44,2026-06-18T19:42:02.894+00:00,Ashby,open,api-live,,success,jd_cache/8b31a0d5dbd4b5fb.txt
portfolio_board:kaszek,wellhub,wellhub,Partnerships Director – US National Partnerships,partnerships_bd,US (Remote),"L?, D?, P?",unclear,unclear,unclear,none,,unknown,unknown,3,unknown,https://job-boards.greenhouse.io/gympass/jobs/8444113002,2026-03-05T23:49:33Z,,open,,,success,jd_cache/246f403e48ce2b1d.txt
portfolio_board:qed-investors,caribou,Caribou,"Senior Manager, Go-To-Market Operations & Sales Tools",growth_commercial,"Chicago, IL, Denver, CO, Phoenix, AZ, Remote, US","L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://job-boards.greenhouse.io/caribou/jobs/7801514003,2026-07-10T15:04:27Z,,open,,,success,jd_cache/4bc951a8358c0c77.txt
portfolio_board:qed-investors,caliza,caliza,Mexico - Director of Business Development,partnerships_bd,Mexico City,L,true,false,false,none,,unknown,unknown,3,unknown,https://jobs.lever.co/caliza-financial-technologies/d3c4c930-0549-4dff-8b09-1fa9bee518a4,2026-05-08T05:45:51.939000Z,,open,,,success,jd_cache/e68b8ab33da2203c.txt
portfolio_board:a16z,talkiatry,talkiatry,"General Manager/Director of Clinical Operations, Psychiatry",market_entry,"United States, Remote","L?, D?, P?",unclear,unclear,unclear,none,,unknown,unknown,3,unknown,https://jobs.ashbyhq.com/talkiatry/f13dbc0c-63b4-4e75-bf24-91f0c87ce3e5?utm_source=jobs.a16z.com,2026-07-15T00:00:00Z,,open,,5,success,jd_cache/db072d64e2033f6d.txt
portfolio_board:a16z,stripe,Stripe,"Strategic Programs Lead, New Markets",strategic_ops,US-Remote,"L?, D?, P?",unclear,unclear,unclear,none,unknown,unknown,unknown,3,needs_verification,https://stripe.com/jobs/search?gh_jid=8070648,2026-07-16T21:33:48Z,,open,,,success,jd_cache/27c007c7f953372d.txt
portfolio_board:a16z,revolut,Revolut,Strategy & Operations Manager,strategic_ops,"Australia - Remote, Australia","L?, D?, P?",unclear,unclear,unclear,none,"fintech,financial-services",late-stage,"London, UK",2,medium,https://www.revolut.com/en-US/careers/position/3c41a74a-d391-4cec-986b-066b43af038c/,2026-07-15T05:58:03Z,,blocked,HTTP 403,,http_error,
