Score,Company,Job_Title,Location,Work_Arrangement,Salary,URL,Posted_Date,Board,Role_Category,Sector,Score_Rationale,Source_Date,Search_Batch,Found_On,First_Seen_Date,Last_Seen_Date,Times_Seen,Status,Interest,Interest_Notes,Applied_Date
82,Equi,"Director, Investments - Multi-Strategy Hedge Fund","New York, NY",,,https://jobs.ashbyhq.com/equi/9db632c2-4e63-423f-a6a5-111debad2610,,Ashby,Director,Hedge Fund,Strong fit: director at multi-strat hedge fund in NYC. Tech-driven platform aligns with software expertise. May be a seniority stretch. Salary unknown but likely competitive.,2026-02-09,Batch_Week_209,Ashby,2026-02-09,2026-02-09,2,NEW,,,
95,Guidepoint,Senior Equity Analyst - TMT Sector,"New York, NY",In-Office,"$150,000 - $200,000",https://www.builtinnyc.com/job/tmt-strategist-guidepoint-insights/2834288,N/A,Built In NYC,,TMT,TMT/software/fintech coverage + Salary $150K+ base: 20/20 + NYC target: 20/20 + Senior analyst/VP: 20/20,2026-02-16,Batch_Week_216,Built In NYC,2026-02-16,2026-02-16,2,REPEAT,,,
76,Interplay (Ascend),"Investment Analyst, Ascend","New York, NY",In-Office,"$100,000 - $150,000",https://jobs.ashbyhq.com/interplay/49067d40-d1b5-4101-9b9d-37e8216e86f0,N/A,Ashby,,Multi-sector,Adjacent finance role + Salary in target range: 18/20 + NYC target: 20/20 + Mid-level analyst: 18/20,2026-02-16,Batch_Week_209 | Batch_Week_216,Ashby,2026-02-09,2026-02-16,3,REPEAT,,,
88,"J. Goldman & Co., L.P.",Hedge Fund - Equity Research Analyst (Junior) - TMT Long/Short,"New York, NY",In-Office,"$100,000 - $150,000",https://www.linkedin.com/jobs/view/hedge-fund-%E2%80%93-equity-research-analyst-junior-%E2%80%93-tmt-long-short-id25001-at-j-goldman-co-l-p-4129675533,N/A,LinkedIn,,TMT,HF equity research L/S analyst + Salary in target range: 18/20 + NYC target: 20/20 + Junior/entry-level: 10/20,2026-02-16,Batch_Week_216,LinkedIn,2026-02-16,2026-02-16,1,NEW,,,
97,"J. Goldman & Co., L.P.",Hedge Fund - Equity Research Analyst - TMT (Long/Short),"New York, NY",In-Office,"$175,000-$225,000",https://www.linkedin.com/jobs/view/4360593281,,LinkedIn,Research/Analyst,Hedge Fund,"Near-perfect fit: TMT L/S equity hedge fund role matching Aaron's software coverage expertise exactly. NYC Midtown location, $175K-$225K base exceeds target. 4+ yrs experience aligns well with ~9 yrs background.",2026-02-09,Batch_Week_209,LinkedIn,2026-02-09,2026-02-16,2,REPEAT,,,
95,JPMorganChase,Equity Research - SMid Technology Senior Analyst - Vice President,"New York, NY",In-Office,"$200,000-$285,000",https://www.linkedin.com/jobs/view/4371408804,,LinkedIn,Research/Analyst,Investment Bank,Excellent fit: SMid Technology coverage VP role nearly identical to current role at Citizens JMP. $200K-$285K well above target. NYC on-site. 6+ yrs requirement aligns perfectly. Sell-side but at top-tier firm.,2026-02-09,Batch_Week_209,LinkedIn,2026-02-09,2026-02-09,2,NEW,,,
76,Kennison & Associates,Senior Equity Research Analyst,"Boston, MA",Hybrid,"$175,000-$200,000",https://www.linkedin.com/jobs/view/4367543210,,LinkedIn,Research/Analyst,Asset Management,"Good fit: senior ER analyst with $175K-$200K + bonus. Hybrid in Boston (not NYC, lower location score). Research skills transfer well. Strong compensation.",2026-02-09,Batch_Week_209,LinkedIn,2026-02-09,2026-02-09,2,NEW,,,
70,Landing Point,Investment Analyst,"Boston, MA",In-Office,"$200,000",https://www.linkedin.com/jobs/view/4371490467,,LinkedIn,Research/Analyst,Asset Management,Moderate fit: investment analyst in Boston at $200K. Requires relocation from NYC. Asset management firm aligns with transition goals.,2026-02-09,Batch_Week_209,LinkedIn,2026-02-09,2026-02-09,2,NEW,,,
80,Long Ridge Partners (Recruiter),Associate L/S Equity,"New York, NY",In-Office,,https://www.linkedin.com/jobs/view/4363170274,,LinkedIn,Associate,Hedge Fund,"Good fit: L/S equity at HF in NYC. Aaron's fundamental research skills align well. 2-5 yrs IB/ER requirement is below Aaron's experience level but still relevant. Salary unknown, posted via recruiter.",2026-02-09,Batch_Week_209,LinkedIn,2026-02-09,2026-02-09,2,NEW,,,
76,Point72,Academy Investment Analyst Program (Experienced Professionals),"New York, NY",In-Office,,https://job-boards.greenhouse.io/point72/jobs/7909101002,,Greenhouse,Research/Analyst,Hedge Fund,"Moderate fit: prestigious buy-side training program at Point72 leading to L/S equity analyst role. Academy structure may feel like a step down for VP-level candidate, but provides direct entry to elite HF platform.",2026-02-16,Batch_Week_216,"Greenhouse, Company Careers",2026-02-16,2026-02-16,1,NEW,,,
79,Point72,"Business Analyst, L/S Equity","Stamford, CT",In-Office,,https://careers.point72.com/CSJobDetail?jobName=business-analyst-l-s-equity&jobCode=CSS-0013340,,Company Careers,Research/Analyst,Hedge Fund,Good fit: L/S equity at elite hedge fund (Point72). Stamford CT commutable from NYC. 'Business Analyst' title may indicate support rather than investment role. Salary likely strong.,2026-02-09,Batch_Week_209,Company Careers,2026-02-09,2026-02-16,2,REPEAT,,,
78,Point72,Equity Financial Analyst - US,"New York, NY / Stamford, CT / Chicago, IL",In-Office,,https://careers.point72.com/CSJobDetail?jobName=equity-financial-analyst-us&jobCode=LSI-0000006,,Company Careers,Research/Analyst,Hedge Fund,Good fit: direct equity financial analyst role at Steve Cohen's Point72. NYC/Stamford locations in target cities. 1+ years requirement suggests entry/mid-level but direct buy-side opportunity. Point72 compensation known to be competitive.,2026-02-16,Batch_Week_216,Company Careers,2026-02-16,2026-02-16,1,NEW,,,
71,Polychain Capital,Hedge Fund Analyst: Contract to Full-Time,"New York, NY",In-Office,"$180,000",https://boards.greenhouse.io/polychaincapital/jobs/6531362,N/A,Greenhouse,,Crypto/Digital Assets,Generic finance role + Salary in target range: 18/20 + NYC target: 20/20 + Mid-level analyst: 18/20,2026-02-16,Batch_Week_216,Greenhouse,2026-02-16,2026-02-16,1,NEW,,,
73,RWA.xyz,Senior Research Analyst,"New York, NY",,,https://jobs.ashbyhq.com/RWA.xyz/b3b035a7-3067-4639-998b-863476b22ae3,,Ashby,Research/Analyst,Fintech,Moderate fit: research analyst at fintech in NYC writing for Wall Street. Adjacent to equity research but crypto/tokenization focus. Seniority aligns.,2026-02-09,Batch_Week_209,Ashby,2026-02-09,2026-02-09,2,NEW,,,
77,Seaport Global Holdings,Research Analyst,"New York, NY",In-Office,,https://jobs.lever.co/seaportglobal/1c717fba-04bd-441b-9047-9f4433929023,,Lever,Research/Analyst,Investment Bank,"Good fit: research analyst with buy-side component (Penn Capital). NYC, CFA preferred matches Aaron's credentials. 5+ year experience aligns.",2026-02-09,Batch_Week_209,Lever,2026-02-09,2026-02-16,2,REPEAT,,,
78,Seaport Global Holdings,Senior Equity Analyst (Generalist & Special Situations),"New York, NY",In-Office,,https://jobs.lever.co/seaportglobal/1056feac-5210-4a44-a7e9-e21b267163a9,,Lever,Research/Analyst,Investment Bank,Good fit: senior equity analyst similar to current role. Generalist/special situations differs from TMT but transferable. NYC location ideal.,2026-02-09,Batch_Week_209 | Batch_Week_216,Lever,2026-02-09,2026-02-16,3,REPEAT,,,
85,Selby Jennings (Recruiter),Equity Research Analyst - Financials (Capital Markets),"New York, NY",In-Office,"$175,000-$500,000",https://www.linkedin.com/jobs/view/4363611844,,LinkedIn,Research/Analyst,Hedge Fund,Strong compensation ($175K-$500K total). ER analyst role at HF level in NYC. Financials sector differs from TMT but research skills transfer. Posted via recruiter so actual employer unknown.,2026-02-09,Batch_Week_209,LinkedIn,2026-02-09,2026-02-09,2,NEW,,,
83,Selby Jennings (Recruiter),Equity Research Analyst - Internet Focus,"New York, NY",In-Office,,https://www.selbyjennings.com/en-us/job/equity-research-analyst-internet-focus-pr545493_1747675893,,LinkedIn,Research/Analyst,Hedge Fund,Strong coverage fit: deep fundamental research on public internet companies globally. Internet coverage is adjacent to Aaron's software expertise. Financial modeling and investment idea generation align well with current skills.,2026-02-16,Batch_Week_216,"LinkedIn, Selby Jennings",2026-02-16,2026-02-16,1,NEW,,,
75,Selby Jennings (Recruiter),Investment Analyst - Healthcare Services (L/S Equity),"New York, NY",In-Office,,https://www.selbyjennings.com/en-us/job/investment-analyst-healthcare-services-ls-equity-pr535853_1741119549,,LinkedIn,Research/Analyst,Hedge Fund,"Good fit: L/S equity HF role with strong seniority match (5-10 yrs). Healthcare Services is outside Aaron's TMT expertise, but fundamental research methodology and financial modeling skills transfer well.",2026-02-16,Batch_Week_216,"LinkedIn, Selby Jennings",2026-02-16,2026-02-16,1,NEW,,,
85,Selby Jennings (Recruiter),L/S Equity Analyst (Fundamental Research),"New York, NY",In-Office,,https://www.selbyjennings.com/en-us/job/ls-equity-analyst-pr546243_1747779027,,LinkedIn,Research/Analyst,Hedge Fund,"Strong fit: premier HF fundamental L/S equity role with 7-figure comp upside. Values intellectual curiosity, work ethic, and creativity—aligns with Aaron's analyst ranking and research track record. NYC location ideal.",2026-02-16,Batch_Week_216,"LinkedIn, Selby Jennings",2026-02-16,2026-02-16,1,NEW,,,
90,Selby Jennings (Recruiter),L/S Equity Analyst - TMT (Premier Single Manager HF),"New York, NY",In-Office,,https://www.selbyjennings.com/en-us/job/ls-equity-analyst-opportunity-at-premier-single-manager-pr553872_1753120509,,LinkedIn,Research/Analyst,Hedge Fund,Near-perfect fit: TMT L/S equity at a premier single-manager hedge fund. Mentorship and state-of-the-art infrastructure. Aaron's software/TMT expertise and ~9 years experience make him an ideal candidate. Salary unknown but likely top-tier.,2026-02-16,Batch_Week_216,"LinkedIn, Selby Jennings",2026-02-16,2026-02-16,1,NEW,,,
85,Selby Jennings (Recruiter),L/S Fundamental Equities Analyst (Multiple Subsectors),"New York, NY",In-Office,,https://www.selbyjennings.com/en-us/job/ls-fundamental-equites-analyst-multiple-subsectors-pr541471_1744397809,,LinkedIn,Research/Analyst,Hedge Fund,Excellent fit: $20B+ multi-strat HF expanding L/S equity team. TMT among available subsectors matches Aaron's coverage. Blends traditional research with data science. NYC location ideal. Salary unknown.,2026-02-16,Batch_Week_216,"LinkedIn, Selby Jennings",2026-02-16,2026-02-16,1,NEW,,,
70,Titan,Investment Analyst,"New York, NY",,"$115,000-$189,000",https://jobs.ashbyhq.com/titan/77c2dfd9-a46e-4dbd-bc92-e87738c2bf91,,Ashby,Research/Analyst,Asset Management,Moderate fit: fintech-adjacent wealth manager in NYC. Salary partially meets target. Tech platform aligns with software expertise but not traditional HF.,2026-02-09,Batch_Week_209,Ashby,2026-02-09,2026-02-09,2,NEW,,,
92,Two Sigma,Fundamental Equity Research Analyst,"New York, NY",Hybrid,"$150,000-$225,000",https://www.linkedin.com/jobs/view/4358270270,,"LinkedIn, Company Careers",Research/Analyst,Hedge Fund,Strong fit: fundamental equity research at elite hedge fund. Hybrid NYC is ideal. $150K-$225K meets target. Quantitative element may be less aligned but fundamental research core matches well.,2026-02-09,Batch_Week_209,"Company Careers, LinkedIn",2026-02-09,2026-02-16,2,REPEAT,,,
83,Two Sigma,Senior Fundamental Equity Research Analyst,"New York, NY",Hybrid,,https://careers.twosigma.com/careers/JobDetail/New-York-New-York-United-States-Senior-Fundamental-Equity-Research-Analyst/6688,,Company Careers,Senior Analyst,Hedge Fund,Strong fit: senior equity research leadership at $50B+ systematic HF. Managing and mentoring analysts mirrors Aaron's mentoring experience at JMP Securities. Top-tier compensation expected at Two Sigma.,2026-02-16,Batch_Week_216,Company Careers,2026-02-16,2026-02-16,1,NEW,,,
83,VantageRock Capital,Equity Analyst - Long/Short Equity,"Greenwich, CT",In-Office,,https://www.ziprecruiter.com/Jobs/Long-Short-Equity-Hedge-Fund,,ZipRecruiter,Research/Analyst,Hedge Fund,Excellent sector fit: fundamental L/S equity at Rockefeller's HF strategy. Multi-sector with low net exposure and asymmetric risk/reward focus. Greenwich CT is in target geography. Research skills directly applicable.,2026-02-16,Batch_Week_216,"ZipRecruiter, eFinancialCareers",2026-02-16,2026-02-16,1,NEW,,,
87,Verition Fund Management,Investment Analyst - Consumer/TMT Equity Long/Short,"New York, NY",In-Office,,https://www.verition.com/open-positions,,Company Careers,Research/Analyst,Hedge Fund,"Excellent sector fit: TMT L/S equity at a multi-strat hedge fund in NYC. Salary not listed but likely competitive. 1-3 yrs HF experience specified is junior relative to Aaron's profile, but sector expertise is highly relevant.",2026-02-09,Batch_Week_209,Company Careers,2026-02-09,2026-02-09,2,NEW,,,
91,Verition Fund Management,Investment Analyst - Consumer/TMT Equity Long/Short Team,"New York, NY",In-Office,"$100,000 - $150,000",https://builtin.com/job/investment-analyst-consumertmt-equity-longshort-team/3835576,N/A,Built In,,TMT/Consumer,TMT/software/fintech coverage + Salary in target range: 18/20 + NYC target: 20/20 + Mid-level analyst: 18/20,2026-02-16,Batch_Week_216,Built In,2026-02-16,2026-02-16,1,NEW,,,
73,Verition Fund Management,Investment Analyst - Industrials Equity Long/Short,"New York, NY",In-Office,,https://www.verition.com/open-positions,,LinkedIn,Research/Analyst,Hedge Fund,Moderate fit: L/S equity at Verition multi-strat HF in NYC. Industrials sector differs from TMT but fundamental research skills transfer. 2-5 yr requirement is below Aaron's experience level.,2026-02-16,Batch_Week_216,"LinkedIn, Company Careers",2026-02-16,2026-02-16,1,NEW,,,
93,Verition Fund Management,US L/S Equity Analyst - TMT (Software),"New York, NY",In-Office,"$150,000 - $200,000",https://builtin.com/job/us-l-s-equity-analyst-tmt-software/6503654,N/A,Built In,,TMT/Software,TMT/software/fintech coverage + Salary $150K+ base: 20/20 + NYC target: 20/20 + Mid-level analyst: 18/20,2026-02-16,Batch_Week_216,Built In,2026-02-16,2026-02-16,1,NEW,,,
91,Verition Fund Management,"US L/S Equity Associate/Analyst - TMT (Generalist, Semi/Semicap)","New York, NY",In-Office,"$120,000 - $180,000",https://www.verition.com/open-positions,N/A,Verition careers,,TMT/Hardware,TMT/software/fintech coverage + Salary in target range: 18/20 + NYC target: 20/20 + Mid-level analyst: 18/20,2026-02-16,Batch_Week_216,Verition careers,2026-02-16,2026-02-16,1,NEW,,,
74,Wells Fargo,"Equity Research, Senior Analyst - Brokers, Asset Managers & Exchanges","Boston, MA",In-Office,,https://www.linkedin.com/jobs/view/4371828306,,LinkedIn,Research/Analyst,Investment Bank,Moderate fit: senior ER at WF in Boston. Financial services coverage differs from TMT. Boston requires relocation. Strong institutional research platform.,2026-02-09,Batch_Week_209,LinkedIn,2026-02-09,2026-02-09,2,NEW,,,
77,Wells Fargo,"Equity Research, Senior Analyst - Mid Cap Banks","New York, NY",In-Office,,https://www.linkedin.com/jobs/view/4371821652,,LinkedIn,Research/Analyst,Investment Bank,Good fit: senior ER analyst at bulge bracket in NYC. Mid Cap Banks sector differs from software but research methodology transfers. Salary not listed but likely competitive at WF.,2026-02-09,Batch_Week_209,LinkedIn,2026-02-09,2026-02-09,2,NEW,,,
71,Wolverine Trading,Hedge Fund Quantitative Analyst,"Chicago, IL",In-Office,"$120,000 - $200,000",https://jobs.lever.co/wolve/363758b4-db6b-47ee-a445-ea0b43a150f1,N/A,Lever,,Quantitative/Trading,Generic finance role + Salary $150K+ base: 20/20 + Target city (not NYC): 18/20 + Mid-level analyst: 18/20,2026-02-16,Batch_Week_216,Lever,2026-02-16,2026-02-16,1,NEW,,,
