Score,Company,Job_Title,Location,Work_Arrangement,Sector,Salary_USD,Job_Summary,URL,Score_Rationale,Times_Seen,First_Seen_Date,Last_Seen_Date,Status,Found_On,URL_Status,Applied_Date,Application_Method,Response_Status,Interview_Stage,Notes
83,Forter,Strategic Alliances and Partnership Manager - EMEA,London,Hybrid,Fintech/Fraud Prevention,N/A,"Strategic alliances and partnerships across EMEA for fraud prevention fintech. Experience in payments, ecommerce, and SaaS ecosystems required. London or Remote.",https://boards.greenhouse.io/forter/jobs/5015334002,Payments/ecommerce fraud (30/35 industry). Strategic alliances in payments ecosystem (23/25 skills). Manager title but EMEA scope (15/20). London (10/10). Salary unlisted (5/10).,1,2026-03-16,2026-03-16,NEW,Greenhouse,Not Checked,,,,,
81,Quantum Metric,Director of EMEA Channel Partnerships,London,Hybrid,SaaS/Analytics,N/A,Director defining and executing EMEA ecosystem strategy. Primary partner resource for channel-related initiatives within EMEA. Digital analytics platform.,https://jobs.lever.co/quantummetric/6f229fc2-53ee-4fcd-b376-d13c15eed443,SaaS analytics (22/35 industry). Channel partnerships + EMEA ecosystem strategy (22/25 skills). Director level (20/20). London (10/10). Salary unlisted (7/10).,1,2026-03-16,2026-03-16,NEW,Lever,Not Checked,,,,,
80,Cloudinary,"Vice President, Strategic Partnerships",Remote,Remote-Global,SaaS/Media,N/A,"VP leading global strategic partner ecosystem — ISVs, GSIs, major platforms, and hyperscalers. Build, scale, and lead Cloudinary's partnerships function.",https://jobs.lever.co/cloudinary/ee60433b-8fd9-4566-ba75-6dd42d27a266,SaaS (22/35 industry). Global partner ecosystem building ISV/GSI (22/25 skills). VP level (20/20). Remote-Global (10/10). Salary unlisted (6/10).,1,2026-03-16,2026-03-16,NEW,Lever,Not Checked,,,,,
80,Workiva,Partnerships & Alliances Director - UK,London,Hybrid,SaaS/Financial Reporting,N/A,"Director of Partnerships & Alliances for UK market at Workiva (cloud platform for regulatory reporting, ESG, audit). London office.",https://workiva.wd1.myworkdayjobs.com/en-US/careers/job/London/Partnerships---Alliances-Director---UK_R4332,"Financial reporting SaaS, fintech-adjacent (25/35 industry). Partnerships & alliances (22/25 skills). Director level (20/20). London (10/10). Salary unlisted (3/10).",1,2026-03-16,2026-03-16,NEW,Workday,Not Checked,,,,,
79,Saviynt,EMEA Partner Enablement Director,Remote-EMEA,Remote-EMEA,Security/SaaS,N/A,Director role pivotal in driving successful partnerships by leveraging technical expertise to support the sales process across EMEA. Remote UK-based.,https://jobs.lever.co/saviynt/585ec140-35ef-4569-955e-3250f77208b6,Security SaaS (22/35 industry). Partner enablement + EMEA (22/25 skills). Director level (20/20). Remote UK (10/10). Salary unlisted (5/10).,1,2026-03-16,2026-03-16,NEW,Lever,Not Checked,,,,,
79,PartnerStack,Chief of Staff,Remote,Remote-Global,SaaS/Partnerships,N/A,"CoS to CEO at PartnerStack (partnerships-as-a-service platform). Support executive team on operational excellence, strategic alignment, and execution.",https://boards.greenhouse.io/partnerstack/jobs/4256601005,SaaS partnerships platform (22/35 industry). CoS to CEO + operations (22/25 skills). CoS level (20/20). Remote (10/10). Salary unlisted (5/10).,1,2026-03-16,2026-03-16,NEW,Greenhouse,Not Checked,,,,,
78,ElevenLabs,GTM Strategy & Operations,London,Remote-Global,AI/Voice Tech,N/A,GTM Strategy & Operations at leading AI voice platform. Remote with London office available. Cross-functional GTM role at one of the fastest-growing AI companies.,https://jobs.ashbyhq.com/elevenlabs/d0045d17-4b0d-4c76-b06c-d931eb6da7e4,AI voice tech (28/35 industry). GTM strategy & ops (18/25 skills). Mid-senior level (15/20). London/Remote (10/10). Salary unlisted (7/10). Secondary role tier.,1,2026-03-16,2026-03-16,NEW,Ashby,Not Checked,,,,,
78,Aircall,Principal Strategic Ecosystem Manager EMEA & APAC,London,Hybrid,SaaS/Telecom,N/A,"Cross-functional role: part program manager, part operator, part strategic orchestrator. Drive new sales through Aircall's ecosystem partnerships across EMEA & APAC. London or Paris office.",https://jobs.lever.co/aircall/174f2912-5533-4635-8d14-ad0af6848fb4,SaaS (22/35 industry). Ecosystem partnerships + cross-functional ops (22/25 skills). Principal/senior IC (18/20). London (10/10). Salary unlisted (6/10).,1,2026-03-16,2026-03-16,NEW,Lever,Not Checked,,,,,
77,360Learning,Head of Business Development EMEA,London,Hybrid,EdTech/SaaS,N/A,"Scale high-performing BDR team across France, UK, and Germany. EdTech SaaS platform. London, Paris, or Germany office.",https://jobs.lever.co/360learning/eccb64a7-fa4e-40f0-a5a7-06ae8d1a5521,EdTech SaaS (20/35 industry). BD team scaling EMEA (22/25 skills). Head level (20/20). London (10/10). Salary unlisted (5/10).,1,2026-03-16,2026-03-16,NEW,Lever,Not Checked,,,,,
76,Icertis,Partner Director - Deloitte Europe,Remote-Europe,Remote-Europe,Enterprise SaaS,N/A,Director role leading execution of strategy to develop high-value partnerships with Deloitte across Europe. Reports to VP BD EMEA. Contract management AI platform.,https://jobs.lever.co/icertis/bf846c9e-f817-496d-a9b2-eb92695332ba,Enterprise SaaS (22/35 industry). Single-partner strategic BD (20/25 skills). Director level (20/20). Remote-Europe (10/10). Salary unlisted (4/10).,1,2026-03-16,2026-03-16,NEW,Lever,Not Checked,,,,,
76,Instructure,"Regional VP, EMEA Channel",Remote-EMEA,Remote-EMEA,EdTech/SaaS,N/A,Lead and grow indirect sales operations across EMEA through high-impact partner network. VP-level channel partnerships role at EdTech platform (Canvas LMS).,https://jobs.lever.co/instructure/8f2ed9e8-91d2-42e1-a8f8-5721ec4da67b,EdTech SaaS (20/35 industry). Channel partnerships VP EMEA (20/25 skills). VP level (20/20). Remote-EMEA (10/10). Salary unlisted (6/10).,1,2026-03-16,2026-03-16,NEW,Lever,Not Checked,,,,,
75,Sustain.Life,Head of Strategic Partnerships and Business Development,Remote-Global,Remote-Global,SaaS/Sustainability,N/A,"Lead partner strategy and execution. 7+ years strategic sales/BD with 3+ years team management. Remote across US, UK, Ireland, Australia, Singapore.",https://boards.greenhouse.io/sustainlife/jobs/5769199003,Sustainability SaaS (18/35 industry). Strategic partnerships + BD (22/25 skills). Head level (20/20). Remote-Global incl UK (10/10). Salary unlisted (5/10). Week 2.,2,2026-03-09,2026-03-16,REPEAT,Greenhouse,Not Checked,,,,,
74,TrustYou,Director of Business Development - EMEA,Remote-EMEA,Remote-EMEA,Hospitality/AI,N/A,Director of BD for EMEA at AI-driven hospitality platform. Lead business development across the European region.,https://jobs.lever.co/trustyou/ec5e7b8a-1107-43fd-8a1e-e7bcf6f6eb93,Hospitality AI (20/35 industry). BD EMEA (20/25 skills). Director level (20/20). Remote-EMEA (10/10). Salary unlisted (4/10).,1,2026-03-16,2026-03-16,NEW,Lever,Not Checked,,,,,
